AOI,Country,Region,Site Name,City,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-03-06T10:30:00,0.2772614,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-03-14T10:30:00,0.2790114,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-03-22T10:30:00,0.3002933,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-03-30T10:30:00,0.3020308,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-04-07T10:30:00,0.2991888,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-04-15T10:30:00,0.2896245,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-04-23T10:30:00,0.27729970000000004,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-05-01T10:30:00,0.2546486,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-05-09T10:30:00,0.21483920000000004,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-05-17T10:30:00,0.16208150000000002,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-05-25T10:30:00,0.08832145,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-06-02T10:30:00,0.08968477,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-06-10T10:30:00,0.15021110000000001,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-06-18T10:30:00,0.24967129999999998,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-06-26T10:30:00,0.4076112,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-07-04T10:30:00,0.5666201999999999,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-07-12T10:30:00,0.6899026999999999,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-07-20T10:30:00,0.7583261,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2018-07-28T10:30:00,0.7902934,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-03-06T10:30:00,0.11494960000000001,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-03-14T10:30:00,0.2236679,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-03-22T10:30:00,0.22691799999999998,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-03-30T10:30:00,0.2555659,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-04-07T10:30:00,0.31307890000000005,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-04-15T10:30:00,0.3177346,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-04-23T10:30:00,0.3024535,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-05-01T10:30:00,0.2582333,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-05-09T10:30:00,0.24744770000000002,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-05-17T10:30:00,0.2177015,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-05-25T10:30:00,0.15930020000000003,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-06-02T10:30:00,0.1325136,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-06-10T10:30:00,0.15271479999999998,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-06-18T10:30:00,0.212662,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-06-26T10:30:00,0.3191529000000001,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-07-04T10:30:00,0.4795515,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-07-12T10:30:00,0.6128344,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-07-20T10:30:00,0.6970068,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2019-07-28T10:30:00,0.7617871,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-03-05T10:30:00,0.29028940000000003,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-03-13T10:30:00,0.301529,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-03-21T10:30:00,0.2867622,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-03-29T10:30:00,0.278505,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-04-06T10:30:00,0.26365459999999996,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-04-14T10:30:00,0.24256170000000002,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-04-22T10:30:00,0.2322583,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-04-30T10:30:00,0.20731970000000002,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-05-08T10:30:00,0.1910997,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-05-16T10:30:00,0.1329639,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-05-24T10:30:00,0.09601971,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-06-01T10:30:00,0.14645460000000002,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-06-09T10:30:00,0.1948727,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-06-17T10:30:00,0.3521843,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-06-25T00:00:00,0.5582368560000001,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-07-03T00:00:00,0.582596287,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-07-11T00:00:00,0.5874032610000001,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
"38.732,-121.809",US,California,Yolo,Yolo,Planting Activity,,GCOM-C SGLI,SGLI L2 Reflectance 8-day composited,E10c,2020-07-19T00:00:00,0.591510988,,,,NDVI Average in Rice Planted Area,Normal,"POLYGON((-120.8 38, -120.8 40, -122.8 40, -122.8 38, -120.8 38))",NDVI,NDVI (GCOM-C SGLI) Average for Rice Planted Area,Blue,JAXA,US06,Weekly(8-day)
