AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"34.05, -118.25",US,,Los Angeles,Los Angeles,Ports: Ship throughput,,,ports,E13c,2020-01-22,41,,,34.5,,Normal,"POLYGON((-118.68741607666016 33.42670324365463, -117.0733049476039 33.42670324365463, -117.0733049476039 34.34392547607422, -118.68741607666016 34.34392547607422, -118.68741607666016 33.42670324365463))",,Number of Ships in Port,BLUE,NASA,US02,Monthly
"34.05, -118.25",US,,Los Angeles,Los Angeles,Ports: Ship throughput,,,ports,E13c,2020-03-15,12,,,34.5,,Normal,"POLYGON((-118.68741607666016 33.42670324365463, -117.0733049476039 33.42670324365463, -117.0733049476039 34.34392547607422, -118.68741607666016 34.34392547607422, -118.68741607666016 33.42670324365463))",,Number of Ships in Port,BLUE,NASA,US02,Monthly
"34.05, -118.25",US,,Los Angeles,Los Angeles,Ports: Ship throughput,,,ports,E13c,2020-03-21,20,,,34.5,,Normal,"POLYGON((-118.68741607666016 33.42670324365463, -117.0733049476039 33.42670324365463, -117.0733049476039 34.34392547607422, -118.68741607666016 34.34392547607422, -118.68741607666016 33.42670324365463))",,Number of Ships in Port,BLUE,NASA,US02,Monthly
"34.05, -118.25",US,,Los Angeles,Los Angeles,Ports: Ship throughput,,,ports,E13c,2020-03-22,86,,,34.5,,Normal,"POLYGON((-118.68741607666016 33.42670324365463, -117.0733049476039 33.42670324365463, -117.0733049476039 34.34392547607422, -118.68741607666016 34.34392547607422, -118.68741607666016 33.42670324365463))",,Number of Ships in Port,BLUE,NASA,US02,Monthly
"34.05, -118.25",US,,Los Angeles,Los Angeles,Ports: Ship throughput,,,ports,E13c,2020-04-23,20,,,34.5,,Normal,"POLYGON((-118.68741607666016 33.42670324365463, -117.0733049476039 33.42670324365463, -117.0733049476039 34.34392547607422, -118.68741607666016 34.34392547607422, -118.68741607666016 33.42670324365463))",,Number of Ships in Port,BLUE,NASA,US02,Monthly
"34.05, -118.25",US,,Los Angeles,Los Angeles,Ports: Ship throughput,,,ports,E13c,2020-04-24,28,,,34.5,,Normal,"POLYGON((-118.68741607666016 33.42670324365463, -117.0733049476039 33.42670324365463, -117.0733049476039 34.34392547607422, -118.68741607666016 34.34392547607422, -118.68741607666016 33.42670324365463))",,Number of Ships in Port,BLUE,NASA,US02,Monthly
"41.0114, -73.09",US,,New York,New York,Ports: Ship throughput,,,ports,E13c,2020-01-20,52,,,42.75,,Normal,"POLYGON((-71.74516 41.54467, -74.43395 41.54943, -74.43219 40.47812, -71.74516 40.48343, -71.74516 41.54467))",,Number of Ships in Port,BLUE,NASA,US01,Monthly
"41.0114, -73.09",US,,New York,New York,Ports: Ship throughput,,,ports,E13c,2020-01-21,69,,,42.75,,Normal,"POLYGON((-71.74516 41.54467, -74.43395 41.54943, -74.43219 40.47812, -71.74516 40.48343, -71.74516 41.54467))",,Number of Ships in Port,BLUE,NASA,US01,Monthly
"41.0114, -73.09",US,,New York,New York,Ports: Ship throughput,,,ports,E13c,2020-03-18,44,,,42.75,,Normal,"POLYGON((-71.74516 41.54467, -74.43395 41.54943, -74.43219 40.47812, -71.74516 40.48343, -71.74516 41.54467))",,Number of Ships in Port,BLUE,NASA,US01,Monthly
"41.0114, -73.09",US,,New York,New York,Ports: Ship throughput,,,ports,E13c,2020-03-22,6,,,42.75,,Normal,"POLYGON((-71.74516 41.54467, -74.43395 41.54943, -74.43219 40.47812, -71.74516 40.48343, -71.74516 41.54467))",,Number of Ships in Port,BLUE,NASA,US01,Monthly
"37.7775, -122.416389",US,,San Francisco,San Francisco,Ports: Ship throughput,,,ports,E13c,2020-03-10,23,,,26.333333333333332,,Normal,"POLYGON((-122.63569641113281 37.119795894876006, -121.53514084334165 37.119795894876006, -121.53514084334165 38.35512924194336, -122.63569641113281 38.35512924194336, -122.63569641113281 37.119795894876006))",,Number of Ships in Port,BLUE,NASA,US03,Monthly
"37.7775, -122.416389",US,,San Francisco,San Francisco,Ports: Ship throughput,,,ports,E13c,2020-03-11,23,,,26.333333333333332,,Normal,"POLYGON((-122.63569641113281 37.119795894876006, -121.53514084334165 37.119795894876006, -121.53514084334165 38.35512924194336, -122.63569641113281 38.35512924194336, -122.63569641113281 37.119795894876006))",,Number of Ships in Port,BLUE,NASA,US03,Monthly
"37.7775, -122.416389",US,,San Francisco,San Francisco,Ports: Ship throughput,,,ports,E13c,2020-04-21,33,,,26.333333333333332,,Normal,"POLYGON((-122.63569641113281 37.119795894876006, -121.53514084334165 37.119795894876006, -121.53514084334165 38.35512924194336, -122.63569641113281 38.35512924194336, -122.63569641113281 37.119795894876006))",,Number of Ships in Port,BLUE,NASA,US03,Monthly
