AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"51.091559,3.740081",BE,,Ghent ,Ghent Zeehaven,Import/production sites: status of non-metallic ores,Object detection on VHR data as proxy for activity level,Planetscope,[NEW] Planetscope COVID-19,E1a,2020-02-12T10:47:30,15,Average number of ships in reference period April 2019,2019-04-11T10:41:54,11,X is the Measrement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,High,"MULTIPOLYGON((( 3.737134796329197  51.104346098458876,3.738444884049084  51.106523542510182,3.741758635340563  51.104733207120333,3.748232009956475  51.09563529648932,3.753626488803068  51.087455327393045,3.756092536275796  51.084913918177115,3.753318232868977  51.083389005622408,3.751237505313862  51.086293557649014,3.751391633280908  51.087527937033158,3.743415510986302  51.098297104554739,3.737134796329197  51.104346098458876),(3.763509944689861  51.125753177016534,3.770484235198671  51.131339155244973,3.782621812603507  51.128074704558934,3.774298902383048  51.120505127473571,3.763509944689861  51.125753177016534),(3.734861408815275  51.091146173058625,3.741797167332323  51.089645668057308,3.744340278788575  51.077446208022145,3.738021032139708  51.078414536673726,3.737327456288003  51.078462952574327,3.73640268848573  51.078511368424273,3.734784344831752  51.088725979638298,3.734861408815275  51.091146173058625 )))",Number of ships at piers,Changes in Ships traffic at dedicated piers,GREEN,EMSS,BE03,Weekly
"51.091559,3.740081",BE,,Ghent ,Ghent Zeehaven,Import/production sites: status of non-metallic ores,Object detection on VHR data as proxy for activity level,Planetscope,[NEW] Planetscope COVID-19,E1a,2020-02-06T10:07:59,14,Average number of ships in reference period April 2019,2019-04-11T10:41:54,11,X is the Measrement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Normal,"MULTIPOLYGON((( 3.737134796329197  51.104346098458876,3.738444884049084  51.106523542510182,3.741758635340563  51.104733207120333,3.748232009956475  51.09563529648932,3.753626488803068  51.087455327393045,3.756092536275796  51.084913918177115,3.753318232868977  51.083389005622408,3.751237505313862  51.086293557649014,3.751391633280908  51.087527937033158,3.743415510986302  51.098297104554739,3.737134796329197  51.104346098458876),(3.763509944689861  51.125753177016534,3.770484235198671  51.131339155244973,3.782621812603507  51.128074704558934,3.774298902383048  51.120505127473571,3.763509944689861  51.125753177016534),(3.734861408815275  51.091146173058625,3.741797167332323  51.089645668057308,3.744340278788575  51.077446208022145,3.738021032139708  51.078414536673726,3.737327456288003  51.078462952574327,3.73640268848573  51.078511368424273,3.734784344831752  51.088725979638298,3.734861408815275  51.091146173058625 )))",Number of ships at piers,Changes in Ships traffic at dedicated piers,BLUE,EMSS,BE03,Weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of non-metallic ores,Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades COVID-19,E1a,2020-04-10T11:09:41,5,Average number of ships in reference period April 2019,2019-04-01T10:54:37,4,X is the Measrement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Normal,"MULTIPOLYGON((( 2.356226479709541  51.045968278962626,2.36206407646139  51.045931941545078,2.367304427340938  51.04490236953567,2.362083342457271  51.039899535112085,2.358114547305849  51.040686941970286,2.355301711907268  51.041244175660474,2.352103556591073  51.04247975689217,2.356226479709541  51.045968278962626),(2.165661697954653  51.014368190811602,2.175217631911476  51.015410561789892,2.181536878560342  51.002609593246213,2.171942412611758  51.001251707538017,2.165661697954653  51.014368190811602 )))",Number of ships at piers,Changes in Ships traffic at dedicated piers,BLUE,EMSS,FR03,Weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of non-metallic ores,Object detection on VHR data as proxy for activity level,Sentinel 2,Sentinel 2 L2A,E1a,2020-04-20T10:57:00,3,Average number of ships in reference period April 2019,2019-04-01T10:54:37,4,X is the Measrement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Normal,"MULTIPOLYGON((( 2.356226479709541  51.045968278962626,2.36206407646139  51.045931941545078,2.367304427340938  51.04490236953567,2.362083342457271  51.039899535112085,2.358114547305849  51.040686941970286,2.355301711907268  51.041244175660474,2.352103556591073  51.04247975689217,2.356226479709541  51.045968278962626),(2.165661697954653  51.014368190811602,2.175217631911476  51.015410561789892,2.181536878560342  51.002609593246213,2.171942412611758  51.001251707538017,2.165661697954653  51.014368190811602 )))",Number of ships at piers,Changes in Ships traffic at dedicated piers,BLUE,EMSS,FR03,Weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of non-metallic ores,Object detection on VHR data as proxy for activity level,Sentinel 2,Sentinel 2 L2A,E1a,2020-05-05T10:56:56,4,Average number of ships in reference period April 2019,2019-04-01T10:54:37,4,X is the Measrement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Normal,"MULTIPOLYGON((( 2.356226479709541  51.045968278962626,2.36206407646139  51.045931941545078,2.367304427340938  51.04490236953567,2.362083342457271  51.039899535112085,2.358114547305849  51.040686941970286,2.355301711907268  51.041244175660474,2.352103556591073  51.04247975689217,2.356226479709541  51.045968278962626),(2.165661697954653  51.014368190811602,2.175217631911476  51.015410561789892,2.181536878560342  51.002609593246213,2.171942412611758  51.001251707538017,2.165661697954653  51.014368190811602 )))",Number of ships at piers,Changes in Ships traffic at dedicated piers,BLUE,EMSS,FR03,Weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of non-metallic ores,Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades 16bit,E1a,2020-04-22T11:17:50,2,Average number of ships in reference period April 2019,2019-04-01T10:54:37,4,X is the Measrement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Low,"MULTIPOLYGON (((2.35622647970954 51.0459682789626,2.36206407646139 51.0459319415451,2.36730442734094 51.0449023695357,2.36208334245727 51.0398995351121,2.35811454730585 51.0406869419703,2.35530171190727 51.0412441756605,2.35210355659107 51.0424797568922,2.35622647970954 51.0459682789626),(2.16566169795465 51.0143681908116,2.17521763191148 51.0154105617899,2.18153687856034 51.0026095932462,2.17194241261176 51.001251707538,2.16566169795465 51.0143681908116)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,FR03,weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of non-metallic ores,Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades 16bit,E1a,2020-05-06T11:10:01,1,Average number of ships in reference period April 2019,2019-04-01T10:54:37,4,X is the Measrement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Low,"MULTIPOLYGON (((2.35622647970954 51.0459682789626,2.36206407646139 51.0459319415451,2.36730442734094 51.0449023695357,2.36208334245727 51.0398995351121,2.35811454730585 51.0406869419703,2.35530171190727 51.0412441756605,2.35210355659107 51.0424797568922,2.35622647970954 51.0459682789626),(2.16566169795465 51.0143681908116,2.17521763191148 51.0154105617899,2.18153687856034 51.0026095932462,2.17194241261176 51.001251707538,2.16566169795465 51.0143681908116)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,FR03,weekly
"51.036138,2.285374",FR,,Dunkirk,Port of Dunkirk,Import/production sites: status of non-metallic ores,Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades 16bit,E1a,2020-05-12T11:13:40,1,Average number of ships in reference period April 2019,2019-04-01T10:54:37,4,X is the Measrement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Low,"MULTIPOLYGON (((2.35622647970954 51.0459682789626,2.36206407646139 51.0459319415451,2.36730442734094 51.0449023695357,2.36208334245727 51.0398995351121,2.35811454730585 51.0406869419703,2.35530171190727 51.0412441756605,2.35210355659107 51.0424797568922,2.35622647970954 51.0459682789626),(2.16566169795465 51.0143681908116,2.17521763191148 51.0154105617899,2.18153687856034 51.0026095932462,2.17194241261176 51.001251707538,2.16566169795465 51.0143681908116)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,RED,EMSS,FR03,weekly
"51.091559,3.740081",BE,,Ghent,Port of Ghent,Import/production sites: status of non-metallic ores,Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades 16bit,E1a,2020-04-08T11:24:41,10,Average number of ships in reference period April 2019,2019-04-11T10:41:54,11,X is the Measrement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Normal,"MULTIPOLYGON (((3.7371347963292 51.1043460984589,3.73844488404908 51.1065235425102,3.74175863534056 51.1047332071203,3.74823200995647 51.0956352964893,3.75362648880307 51.087455327393,3.7560925362758 51.0849139181771,3.75331823286898 51.0833890056224,3.75123750531386 51.086293557649,3.75139163328091 51.0875279370332,3.7434155109863 51.0982971045547,3.7371347963292 51.1043460984589),(3.76350994468986 51.1257531770165,3.77048423519867 51.131339155245,3.78262181260351 51.1280747045589,3.77429890238305 51.1205051274736,3.76350994468986 51.1257531770165),(3.73486140881527 51.0911461730586,3.74179716733232 51.0896456680573,3.74434027878858 51.0774462080221,3.73802103213971 51.0784145366737,3.737327456288 51.0784629525743,3.73640268848573 51.0785113684243,3.73478434483175 51.0887259796383,3.73486140881527 51.0911461730586)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,BLUE,EMSS,BE03,weekly
"51.091559,3.740081",BE,,Ghent,Port of Ghent,Import/production sites: status of non-metallic ores,Object detection on VHR data as proxy for activity level,Pleiades,[NEW] Pleiades 16bit,E1a,2020-05-09T10:47:01,9,Average number of ships in reference period April 2019,2019-04-11T10:41:54,11,X is the Measrement value. If  X<(ref_value-30%ref_value) Low X >(ref_value+30%ref_value) high (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal,Normal,"MULTIPOLYGON (((3.7371347963292 51.1043460984589,3.73844488404908 51.1065235425102,3.74175863534056 51.1047332071203,3.74823200995647 51.0956352964893,3.75362648880307 51.087455327393,3.7560925362758 51.0849139181771,3.75331823286898 51.0833890056224,3.75123750531386 51.086293557649,3.75139163328091 51.0875279370332,3.7434155109863 51.0982971045547,3.7371347963292 51.1043460984589),(3.76350994468986 51.1257531770165,3.77048423519867 51.131339155245,3.78262181260351 51.1280747045589,3.77429890238305 51.1205051274736,3.76350994468986 51.1257531770165),(3.73486140881527 51.0911461730586,3.74179716733232 51.0896456680573,3.74434027878858 51.0774462080221,3.73802103213971 51.0784145366737,3.737327456288 51.0784629525743,3.73640268848573 51.0785113684243,3.73478434483175 51.0887259796383,3.73486140881527 51.0911461730586)))",Number of ships at piers,Changes in Ships traffic at dedicated piers,BLUE,EMSS,BE03,weekly
