AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"35.0800,136.8800",JP,Japan,Nagoya,Nagoya Port,Activity (cars/containers),,ALOS-2,industry,E9,2021-06-09,0.912468,,,,,,"POLYGON((136.74201569988466 35.13376088778208,136.95693574382997 35.13376088778208,136.95693574382997 34.93867142383858,136.74201569988466 34.93867142383858,136.74201569988466 35.13376088778208))",Car Density,Car Density change in Nagoya Port,BLUE,JAXA,JP03,weekly
"35.0800,136.8800",JP,Japan,Nagoya,Nagoya Port,Activity (cars/containers),,ALOS-2,industry,E9,2021-06-23,0.907021492,,,,,,"POLYGON((136.74201569988466 35.13376088778208,136.95693574382997 35.13376088778208,136.95693574382997 34.93867142383858,136.74201569988466 34.93867142383858,136.74201569988466 35.13376088778208))",Car Density,Car Density change in Nagoya Port,BLUE,JAXA,JP03,weekly
"33.94, -118.41",US,,Los Angeles,LAX Airport,Activity (cars/containers),,ALOS-2,,E9,2020-10-17,0.559159159,,,1,,low,"POLYGON((139.7497065 35.5751547, 139.7497065 35.5188386, 139.8288279 35.5188386, 139.8288279 35.5751547, 139.7497065 35.5751547))",Car Density,Car Density,BLUE,JAXA,US021,Monthly
"33.94, -118.41",US,,Los Angeles,LAX Airport,Activity (cars/containers),,ALOS-2,,E9,2020-10-31,0.556156156,,,1,,low,"POLYGON((139.7497065 35.5751547, 139.7497065 35.5188386, 139.8288279 35.5188386, 139.8288279 35.5751547, 139.7497065 35.5751547))",Car Density,Car Density,BLUE,JAXA,US021,Monthly
"33.94, -118.41",US,,Los Angeles,LAX Airport,Activity (cars/containers),,ALOS-2,,E9,2020-11-28,0.539448539,,,1,,low,"POLYGON((139.7497065 35.5751547, 139.7497065 35.5188386, 139.8288279 35.5188386, 139.8288279 35.5751547, 139.7497065 35.5751547))",Car Density,Car Density,BLUE,JAXA,US021,Monthly
"33.94, -118.41",US,,Los Angeles,LAX Airport,Activity (cars/containers),,ALOS-2,,E9,2020-12-12,0.579470379,,,1,,low,"POLYGON((139.7497065 35.5751547, 139.7497065 35.5188386, 139.8288279 35.5188386, 139.8288279 35.5751547, 139.7497065 35.5751547))",Car Density,Car Density,BLUE,JAXA,US021,Monthly
"33.94, -118.41",US,,Los Angeles,LAX Airport,Activity (cars/containers),,ALOS-2,,E9,2021-01-09,0.608899809,,,1,,low,"POLYGON((139.7497065 35.5751547, 139.7497065 35.5188386, 139.8288279 35.5188386, 139.8288279 35.5751547, 139.7497065 35.5751547))",Car Density,Car Density,BLUE,JAXA,US021,Monthly
"33.94, -118.41",US,,Los Angeles,LAX Airport,Activity (cars/containers),,ALOS-2,,E9,2021-02-06,0.627463827,,,1,,low,"POLYGON((139.7497065 35.5751547, 139.7497065 35.5188386, 139.8288279 35.5188386, 139.8288279 35.5751547, 139.7497065 35.5751547))",Car Density,Car Density,BLUE,JAXA,US021,Monthly
"33.94, -118.41",US,,Los Angeles,LAX Airport,Activity (cars/containers),,ALOS-2,,E9,2021-03-06,0.617417417,,,1,,low,"POLYGON((139.7497065 35.5751547, 139.7497065 35.5188386, 139.8288279 35.5188386, 139.8288279 35.5751547, 139.7497065 35.5751547))",Car Density,Car Density,BLUE,JAXA,US021,Monthly
"33.94, -118.41",US,,Los Angeles,LAX Airport,Activity (cars/containers),,ALOS-2,,E9,2021-04-03,0.53033033,,,1,,low,"POLYGON((139.7497065 35.5751547, 139.7497065 35.5188386, 139.8288279 35.5188386, 139.8288279 35.5751547, 139.7497065 35.5751547))",Car Density,Car Density,BLUE,JAXA,US021,Monthly
"33.94, -118.41",US,,Los Angeles,LAX Airport,Activity (cars/containers),,ALOS-2,,E9,2021-04-17,0.54960415,,,1,,low,"POLYGON((139.7497065 35.5751547, 139.7497065 35.5188386, 139.8288279 35.5188386, 139.8288279 35.5751547, 139.7497065 35.5751547))",Car Density,Car Density,BLUE,JAXA,US021,Monthly
"33.94, -118.41",US,,Los Angeles,LAX Airport,Activity (cars/containers),,ALOS-2,,E9,2021-05-01,0.521321321,,,1,,low,"POLYGON((139.7497065 35.5751547, 139.7497065 35.5188386, 139.8288279 35.5188386, 139.8288279 35.5751547, 139.7497065 35.5751547))",Car Density,Car Density,BLUE,JAXA,US021,Monthly
"33.94, -118.41",US,,Los Angeles,LAX Airport,Activity (cars/containers),,ALOS-2,,E9,2021-05-15,0.571771772,,,1,,low,"POLYGON((139.7497065 35.5751547, 139.7497065 35.5188386, 139.8288279 35.5188386, 139.8288279 35.5751547, 139.7497065 35.5751547))",Car Density,Car Density,BLUE,JAXA,US021,Monthly
