AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y Axis,Indicator Name,Color Code,Data Provider,AOI_ID,Update Frequency
"37.7775,-122.416389",US,,San Francisco,,Air Quality,Spatial average of  NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-07-09T00:00:00,35.190105,"Spatial statistics [median,std,max,min,percentage valid pixels] of the current date within the city area",2018-07-09T00:00:00,"[35.28793, 11.059333, 60.10239, 16.050186, 100.0]",,,"POLYGON((-122.71638899999999 37.477500000000006,-122.116389 37.477500000000006,-122.116389 38.0775,-122.71638899999999 38.0775,-122.71638899999999 37.477500000000006))",Tropospheric NO2 (umol/m2),Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,US1,Bi-weekly
"37.7775,-122.416389",US,,San Francisco,,Air Quality,Spatial average of  NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-07-23T00:00:00,35.774044,"Spatial statistics [median,std,max,min,percentage valid pixels] of the current date within the city area",2018-07-23T00:00:00,"[34.071114, 11.247262, 68.46697, 17.554531, 100.0]",,,"POLYGON((-122.71638899999999 37.477500000000006,-122.116389 37.477500000000006,-122.116389 38.0775,-122.71638899999999 38.0775,-122.71638899999999 37.477500000000006))",Tropospheric NO2 (umol/m2),Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,US1,Bi-weekly
"37.7775,-122.416389",US,,San Francisco,,Air Quality,Spatial average of  NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-08-06T00:00:00,33.52969,"Spatial statistics [median,std,max,min,percentage valid pixels] of the current date within the city area",2018-08-06T00:00:00,"[30.843605, 11.475521, 65.97799, 9.807044, 100.0]",,,"POLYGON((-122.71638899999999 37.477500000000006,-122.116389 37.477500000000006,-122.116389 38.0775,-122.71638899999999 38.0775,-122.71638899999999 37.477500000000006))",Tropospheric NO2 (umol/m2),Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,US1,Bi-weekly
"37.7775,-122.416389",US,,San Francisco,,Air Quality,Spatial average of  NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-08-20T00:00:00,35.803963,"Spatial statistics [median,std,max,min,percentage valid pixels] of the current date within the city area",2018-08-20T00:00:00,"[35.225636, 13.320698, 64.24841, 2.6898217, 100.0]",,,"POLYGON((-122.71638899999999 37.477500000000006,-122.116389 37.477500000000006,-122.116389 38.0775,-122.71638899999999 38.0775,-122.71638899999999 37.477500000000006))",Tropospheric NO2 (umol/m2),Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,US1,Bi-weekly
"37.7775,-122.416389",US,,San Francisco,,Air Quality,Spatial average of  NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-09-03T00:00:00,32.603428,"Spatial statistics [median,std,max,min,percentage valid pixels] of the current date within the city area",2018-09-03T00:00:00,"[32.04194, 8.742033, 54.067608, 17.076267, 100.0]",,,"POLYGON((-122.71638899999999 37.477500000000006,-122.116389 37.477500000000006,-122.116389 38.0775,-122.71638899999999 38.0775,-122.71638899999999 37.477500000000006))",Tropospheric NO2 (umol/m2),Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,US1,Bi-weekly
"37.7775,-122.416389",US,,San Francisco,,Air Quality,Spatial average of  NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-09-17T00:00:00,37.861366,"Spatial statistics [median,std,max,min,percentage valid pixels] of the current date within the city area",2018-09-17T00:00:00,"[35.373085, 11.35378, 66.754684, 17.801826, 100.0]",,,"POLYGON((-122.71638899999999 37.477500000000006,-122.116389 37.477500000000006,-122.116389 38.0775,-122.71638899999999 38.0775,-122.71638899999999 37.477500000000006))",Tropospheric NO2 (umol/m2),Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,US1,Bi-weekly
"37.7775,-122.416389",US,,San Francisco,,Air Quality,Spatial average of  NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-10-01T00:00:00,62.804222,"Spatial statistics [median,std,max,min,percentage valid pixels] of the current date within the city area",2018-10-01T00:00:00,"[60.569374, 17.405394, 112.87683, 31.320799, 100.0]",,,"POLYGON((-122.71638899999999 37.477500000000006,-122.116389 37.477500000000006,-122.116389 38.0775,-122.71638899999999 38.0775,-122.71638899999999 37.477500000000006))",Tropospheric NO2 (umol/m2),Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,US1,Bi-weekly
"37.7775,-122.416389",US,,San Francisco,,Air Quality,Spatial average of  NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-10-15T00:00:00,50.584698,"Spatial statistics [median,std,max,min,percentage valid pixels] of the current date within the city area",2018-10-15T00:00:00,"[46.80632, 16.261158, 91.205696, 24.631403, 100.0]",,,"POLYGON((-122.71638899999999 37.477500000000006,-122.116389 37.477500000000006,-122.116389 38.0775,-122.71638899999999 38.0775,-122.71638899999999 37.477500000000006))",Tropospheric NO2 (umol/m2),Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,US1,Bi-weekly
"37.7775,-122.416389",US,,San Francisco,,Air Quality,Spatial average of  NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-10-29T00:00:00,73.68373,"Spatial statistics [median,std,max,min,percentage valid pixels] of the current date within the city area",2018-10-29T00:00:00,"[69.50526, 21.333403, 140.47353, 43.578304, 100.0]",,,"POLYGON((-122.71638899999999 37.477500000000006,-122.116389 37.477500000000006,-122.116389 38.0775,-122.71638899999999 38.0775,-122.71638899999999 37.477500000000006))",Tropospheric NO2 (umol/m2),Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,US1,Bi-weekly
"37.7775,-122.416389",US,,San Francisco,,Air Quality,Spatial average of  NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-11-12T00:00:00,72.1569,"Spatial statistics [median,std,max,min,percentage valid pixels] of the current date within the city area",2018-11-12T00:00:00,"[64.15764, 26.313457, 152.27872, 34.736336, 100.0]",,,"POLYGON((-122.71638899999999 37.477500000000006,-122.116389 37.477500000000006,-122.116389 38.0775,-122.71638899999999 38.0775,-122.71638899999999 37.477500000000006))",Tropospheric NO2 (umol/m2),Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,US1,Bi-weekly
"37.7775,-122.416389",US,,San Francisco,,Air Quality,Spatial average of  NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-11-26T00:00:00,69.63211,"Spatial statistics [median,std,max,min,percentage valid pixels] of the current date within the city area",2018-11-26T00:00:00,"[64.4738, 26.292747, 154.86372, 27.387043, 100.0]",,,"POLYGON((-122.71638899999999 37.477500000000006,-122.116389 37.477500000000006,-122.116389 38.0775,-122.71638899999999 38.0775,-122.71638899999999 37.477500000000006))",Tropospheric NO2 (umol/m2),Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,US1,Bi-weekly
"37.7775,-122.416389",US,,San Francisco,,Air Quality,Spatial average of  NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-12-10T00:00:00,62.922485,"Spatial statistics [median,std,max,min,percentage valid pixels] of the current date within the city area",2018-12-10T00:00:00,"[61.2547, 15.929517, 118.86975, 28.822544, 100.0]",,,"POLYGON((-122.71638899999999 37.477500000000006,-122.116389 37.477500000000006,-122.116389 38.0775,-122.71638899999999 38.0775,-122.71638899999999 37.477500000000006))",Tropospheric NO2 (umol/m2),Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,US1,Bi-weekly
"37.7775,-122.416389",US,,San Francisco,,Air Quality,Spatial average of  NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-12-24T00:00:00,81.57508,"Spatial statistics [median,std,max,min,percentage valid pixels] of the current date within the city area",2018-12-24T00:00:00,"[75.6461, 31.341953, 150.26196, 26.361122, 100.0]",,,"POLYGON((-122.71638899999999 37.477500000000006,-122.116389 37.477500000000006,-122.116389 38.0775,-122.71638899999999 38.0775,-122.71638899999999 37.477500000000006))",Tropospheric NO2 (umol/m2),Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,US1,Bi-weekly
