AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"40.0,116.5",CN,,Beijing,Beijing,Greenhouse Gases,,GOSAT,Partial Column(FTS L1B V220.220),N2,2017-01-01T00:00:00,12.77,,,,XCO2 partial column difference between lower troposphere (LT=0-4km) and upper troposphere (UT=4-12km) [ppmv],Normal,,ppmv,Partial Column (GOSAT FTS L1B V220.220),BLUE,JAXA,CN01,Monthly
"40.0,116.5",CN,,Beijing,Beijing,Greenhouse Gases,,GOSAT,Partial Column(FTS L1B V220.220),N2,2017-02-01T00:00:00,11.83,,,,XCO2 partial column difference between lower troposphere (LT=0-4km) and upper troposphere (UT=4-12km) [ppmv],Normal,,ppmv,Partial Column (GOSAT FTS L1B V220.220),BLUE,JAXA,CN01,Monthly
"40.0,116.5",CN,,Beijing,Beijing,Greenhouse Gases,,GOSAT,Partial Column(FTS L1B V220.220),N2,2017-03-01T00:00:00,12.57,,,,XCO2 partial column difference between lower troposphere (LT=0-4km) and upper troposphere (UT=4-12km) [ppmv],Normal,,ppmv,Partial Column (GOSAT FTS L1B V220.220),BLUE,JAXA,CN01,Monthly
"40.0,116.5",CN,,Beijing,Beijing,Greenhouse Gases,,GOSAT,Partial Column(FTS L1B V220.220),N2,2017-04-01T00:00:00,5.89,,,,XCO2 partial column difference between lower troposphere (LT=0-4km) and upper troposphere (UT=4-12km) [ppmv],Normal,,ppmv,Partial Column (GOSAT FTS L1B V220.220),BLUE,JAXA,CN01,Monthly
"40.0,116.5",CN,,Beijing,Beijing,Greenhouse Gases,,GOSAT,Partial Column(FTS L1B V220.220),N2,2018-01-01T00:00:00,8.11,,,,XCO2 partial column difference between lower troposphere (LT=0-4km) and upper troposphere (UT=4-12km) [ppmv],Normal,,ppmv,Partial Column (GOSAT FTS L1B V220.220),BLUE,JAXA,CN01,Monthly
"40.0,116.5",CN,,Beijing,Beijing,Greenhouse Gases,,GOSAT,Partial Column(FTS L1B V220.220),N2,2018-02-01T00:00:00,11.08,,,,XCO2 partial column difference between lower troposphere (LT=0-4km) and upper troposphere (UT=4-12km) [ppmv],Normal,,ppmv,Partial Column (GOSAT FTS L1B V220.220),BLUE,JAXA,CN01,Monthly
"40.0,116.5",CN,,Beijing,Beijing,Greenhouse Gases,,GOSAT,Partial Column(FTS L1B V220.220),N2,2018-03-01T00:00:00,13.47,,,,XCO2 partial column difference between lower troposphere (LT=0-4km) and upper troposphere (UT=4-12km) [ppmv],Normal,,ppmv,Partial Column (GOSAT FTS L1B V220.220),BLUE,JAXA,CN01,Monthly
"40.0,116.5",CN,,Beijing,Beijing,Greenhouse Gases,,GOSAT,Partial Column(FTS L1B V220.220),N2,2018-04-01T00:00:00,8.54,,,,XCO2 partial column difference between lower troposphere (LT=0-4km) and upper troposphere (UT=4-12km) [ppmv],Normal,,ppmv,Partial Column (GOSAT FTS L1B V220.220),BLUE,JAXA,CN01,Monthly
"40.0,116.5",CN,,Beijing,Beijing,Greenhouse Gases,,GOSAT,Partial Column(FTS L1B V220.220),N2,2019-01-01T00:00:00,10.57,,,,XCO2 partial column difference between lower troposphere (LT=0-4km) and upper troposphere (UT=4-12km) [ppmv],Normal,,ppmv,Partial Column (GOSAT FTS L1B V220.220),BLUE,JAXA,CN01,Monthly
"40.0,116.5",CN,,Beijing,Beijing,Greenhouse Gases,,GOSAT,Partial Column(FTS L1B V220.220),N2,2019-02-01T00:00:00,10.11,,,,XCO2 partial column difference between lower troposphere (LT=0-4km) and upper troposphere (UT=4-12km) [ppmv],Normal,,ppmv,Partial Column (GOSAT FTS L1B V220.220),BLUE,JAXA,CN01,Monthly
