AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-01T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-01T00:00:00,[-0.176 0.248],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-02T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-02T00:00:00,[-0.226 0.251],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-03T00:00:00,NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-03T00:00:00,[-0.244 0.243],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-04T00:00:00,-0.154,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-04T00:00:00,[-0.234 0.237],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,REGULAR TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,BLUE,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-05T00:00:00,0.097,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-05T00:00:00,[-0.258 0.246],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,HIGH TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,RED,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-06T00:00:00,-0.046,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-06T00:00:00,[-0.261 0.256],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,REGULAR TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,BLUE,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-07T00:00:00,-0.097,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-07T00:00:00,[-0.25 0.281],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,REGULAR TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,BLUE,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-08T00:00:00,-0.147,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-08T00:00:00,[-0.254 0.283],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,REGULAR TURBID WATER,,Chlorophyll-a concentration [mg m-3],Water quality,BLUE,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-09T00:00:00, NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-09T00:00:00,[-0.268 0.296],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
"45.314247, 12.508055",IT,North Adriatic Sea,Venice,AAOT fixed station Venezia,Water Quality Time Series (CMEMS),Daily Chl-a concentration from MedOC4 regional algorithm as proxy for water quality,"[MODIS-Aqua, VIIRS-NPP, Sentinel-3A]",OCEANCOLOUR_MED_CHL_L3_NRT_OBSERVATIONS_009_040,N3,2019-02-10T00:00:00, NaN,"[Daily climatologic mean of chlorophyll-a concentration for the period 1997-2016, Standard deviation]",2019-02-10T00:00:00,[-0.252 0.308],Measurement < Reference[0] outputs LOW TURBID WATER; Reference [0]< Measurement < Reference [0] + Reference [1] outputs REGULAR TURBID WATER;  Measurement > Reference [0] + Reference [1] outputs HIGH TURBID WATER,,,Chlorophyll-a concentration [mg m-3],Water quality,,CNR-ISMAR,IT6,Weekly
