AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2019-12-10T00:00:00,0.6228956229,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-01-05T00:00:00,0.2644781145,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-01-12T00:00:00,0.4373737374,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-01-19T00:00:00,0.2382154882,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-01-24T00:00:00,0.0861952862,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-01-29T00:00:00,0.1018518519,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-02-05T00:00:00,0.07626262626,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-02-10T00:00:00,0.1005050505,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-02-17T00:00:00,0.06464646465,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-02-18T00:00:00,0.1363636364,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-02-22T00:00:00,0.1838383838,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-03-05T00:00:00,0.1602693603,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-03-12T00:00:00,0.1511784512,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-03-17T00:00:00,0.1779461279,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-03-24T00:00:00,0.2912457912,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-03-29T00:00:00,0.2715488215,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-03-31T00:00:00,0.09191919192,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-04-05T00:00:00,0.2762626263,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-04-17T00:00:00,0.4939393939,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-04-28T00:00:00,0.4331649832,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-04-29T00:00:00,0.4521885522,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
"40.08, 116.6",CN,Beijing,Beijing,,Car Count,,ALOS-2,ALOS-2,JAXA1,2020-05-07T00:00:00,0.3632996633,,,,,,,Density per pixel,Changes in the number of new cars,,JAXA,be,
