AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"51.02986,2.250141",FR,,Port of Dunkirk,,,,,,,,,,,,,,,,,,,du,
"51.15934,3.77245",BE,,Port of Ghent,,,,,,,,,,,,,,,,,,,gh,
"34.05,-118.25",US,,Los Angeles,,,,,,,,,,,,,,,,,,,la,
"37.7775,-122.416389",US,,San Francisco,,,,,,,,,,,,,,,,,,,sf,
"35.61,139.78",JP,,Tokyo,,,,,,,,,,,,,,,,,,,tk,
"48.864716,2.349014",FR,,Paris,,,,,,,,,,,,,,,,,,,pa,
"41.902782,12.496366",IT,,Rome,,,,,,,,,,,,,,,,,,,ro,
"40.416775,-3.703790",ES,,Madrid,,,,,,,,,,,,,,,,,,,ma,
"42.9254,-78.8696",US,,New York,,,,,,,,,,,,,,,,,,,ny,
"28.644800,77.216721",IN,,New Delhi,,,,,,,,,,,,,,,,,,,nd,
"35.1778,136.8754",JP,,Nagoya,,,,,,,,,,,,,,,,,,,na,
"34.669529,135.497009",JP,,Osaka,,,,,,,,,,,,,,,,,,,os,
"34.6912994,135.1829987",JP,,Kobe,,,,,,,,,,,,,,,,,,,ko,
"41.390205,2.154007",ES,,Barcelona,,,,,,,,,,,,,,,,,,,ba,
"43.370677,4.752758",FR,,Rhone Mouth,,,,,,,,,,,,,,,,,,,rm,
" 52.131413,13.090632 ",DE,,Brandenburg Region,,,,,,,,,,,,,,,,,,,br,
"45.464664,9.188540",IT,,Milan,,,,,,,,,,,,,,,,,,,mi,
