AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"44.40572,8.93364",IT,Liguria,Genoa,Port of Genoa,People presence - NO2 level,NO2 value have been extracted over the port area from Sentinel 5P daily data while people presence in the port have been measured with Vodafone Data,Sentinel5P,Sentinel5P - Vodafone,C2,2020-02-01,265418,People in port,,,,People in port,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Normalized NO2 concentration & Mean number of people,Number of people and NO2 level,,e-GEOS,IT3,Monthly
"44.40572,8.93364",IT,Liguria,Genoa,Port of Genoa,People presence - NO2 level,NO2 value have been extracted over the port area from Sentinel 5P daily data while people presence in the port have been measured with Vodafone Data,Sentinel5P,Sentinel5P - Vodafone,C2,2020-03-01,212526,People in port,,,,People in port,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Normalized NO2 concentration & Mean number of people,Number of people and NO2 level,,e-GEOS,IT3,Monthly
"44.40572,8.93364",IT,Liguria,Genoa,Port of Genoa,People presence - NO2 level,NO2 value have been extracted over the port area from Sentinel 5P daily data while people presence in the port have been measured with Vodafone Data,Sentinel5P,Sentinel5P - Vodafone,C2,2020-04-01,188815,People in port,,,,People in port,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Normalized NO2 concentration & Mean number of people,Number of people and NO2 level,,e-GEOS,IT3,Monthly
"44.40572,8.93364",IT,Liguria,Genoa,Port of Genoa,People presence - NO2 level,NO2 value have been extracted over the port area from Sentinel 5P daily data while people presence in the port have been measured with Vodafone Data,Sentinel5P,Sentinel5P - Vodafone,C2,2020-05-01,241132,People in port,,,,People in port,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Normalized NO2 concentration & Mean number of people,Number of people and NO2 level,,e-GEOS,IT3,Monthly
"44.40572,8.93364",IT,Liguria,Genoa,Port of Genoa,People presence - NO2 level,NO2 value have been extracted over the port area from Sentinel 5P daily data while people presence in the port have been measured with Vodafone Data,Sentinel5P,Sentinel5P - Vodafone,C2,2020-02-01,331000,NO2 over the port,,,,NO2 (rescaled),"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Normalized NO2 concentration & Mean number of people,Number of people and NO2 level,,e-GEOS,IT3,Monthly
"44.40572,8.93364",IT,Liguria,Genoa,Port of Genoa,People presence - NO2 level,NO2 value have been extracted over the port area from Sentinel 5P daily data while people presence in the port have been measured with Vodafone Data,Sentinel5P,Sentinel5P - Vodafone,C2,2020-03-01,204000,NO2 over the port,,,,NO2 (rescaled),"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Normalized NO2 concentration & Mean number of people,Number of people and NO2 level,,e-GEOS,IT3,Monthly
"44.40572,8.93364",IT,Liguria,Genoa,Port of Genoa,People presence - NO2 level,NO2 value have been extracted over the port area from Sentinel 5P daily data while people presence in the port have been measured with Vodafone Data,Sentinel5P,Sentinel5P - Vodafone,C2,2020-04-01,183000,NO2 over the port,,,,NO2 (rescaled),"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Normalized NO2 concentration & Mean number of people,Number of people and NO2 level,,e-GEOS,IT3,Monthly
"44.40572,8.93364",IT,Liguria,Genoa,Port of Genoa,People presence - NO2 level,NO2 value have been extracted over the port area from Sentinel 5P daily data while people presence in the port have been measured with Vodafone Data,Sentinel5P,Sentinel5P - Vodafone,C2,2020-05-01,190000,NO2 over the port,,,,NO2 (rescaled),"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Normalized NO2 concentration & Mean number of people,Number of people and NO2 level,,e-GEOS,IT3,Monthly
"38.45339,15.9024",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,People presence - NO2 level,NO2 value have been extracted over the port area from Sentinel 5P daily data while people presence in the port have been measured with Vodafone Data,Sentinel5P,Sentinel5P - Vodafone,C2,2020-02-01,17044,People in port,,,,People in port,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Normalized NO2 concentration & Mean number of people,Number of people and NO2 level,,e-GEOS,IT16,Monthly
"38.45339,15.9024",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,People presence - NO2 level,NO2 value have been extracted over the port area from Sentinel 5P daily data while people presence in the port have been measured with Vodafone Data,Sentinel5P,Sentinel5P - Vodafone,C2,2020-03-01,17762,People in port,,,,People in port,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Normalized NO2 concentration & Mean number of people,Number of people and NO2 level,,e-GEOS,IT16,Monthly
