AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"51.09374, 1.10885",GB,,Folkestone,Eurotunnel truck toll to France,Border crossing points: volume of activity,SAR backscatter average over the Sub AOI ,Sentinel-1,S1A - GRD,E12b,2020-01-04T17:49:18,0.0556672798150948,"""3-year statistics [max,min,2017-2019 rolling mean,2020 rolling mean]""",,"[0.055488118635809,0.0443812980308139,,]",,,"POLYGON((1.1124665273443268 51.093193331438385,1.1107713712469147 51.09353024543988,1.108990384461026 51.09385368057198,1.1076385511175202 51.09404235002099,1.1064583791509675 51.09416363711745,1.1052782071844147 51.09423101870023,1.1037547124639557 51.09420406607889,1.1032182706609772 51.09409625543644,1.1022312177434967 51.09402887365731,1.1012227071538971 51.09392106260643,1.099677754761319 51.09378629843935,1.0983902944341706 51.093597627945634,1.0970384610906647 51.09339548013383,1.09615869653378 51.09328766760624,1.0951287282720612 51.09309899507807,1.0941202176824616 51.09293727515555,1.093433572174649 51.09286989168759,1.0923177732244538 51.09272164771243,1.0913950933233307 51.092640787162026,1.0902792943731354 51.09251949607133,1.088991834045987 51.09235777412221,1.0881120694891022 51.09224995917526,1.086846066834073 51.09212866705951,1.085794640900235 51.091993897668864,1.0847861303106354 51.09195346677509,1.08367033136044 51.091899558861726,1.0828549398199128 51.091899558861726,1.081975175263028 51.09187260488148,1.0811383260503815 51.09187260488148,1.080451680542569 51.091845650885524,1.0798723233953522 51.09188608187357,1.0792500509038971 51.09187260488148,1.0785204900518464 51.091913035845955,1.0778767598882721 51.09195346677509,1.07693262231503 51.09196694374362,1.0763532651678132 51.092007374625574,1.0757739080205964 51.09203432852729,1.0752374662176178 51.09204780547225,1.0744435323492096 51.09212866705951,1.0736495984808014 51.09220952850535,1.0730702413335846 51.09224995917526,1.0724694265142487 51.092330820409046,1.071911527039151 51.09238472781967,1.070838643433194 51.09251949607133,1.069765759827237 51.092735124457064,1.0688216222539948 51.09284293827289,1.0674483312383698 51.093058565150486,1.0663325322881745 51.09332809733353,1.065173817993741 51.09354372194888,1.0638863576665925 51.09381325130419,1.0626418126836823 51.09402887365731,1.0617835057989167 51.09424449500501,1.0607106221929596 51.09448706781934,1.0598093999639557 51.09456792514137,1.0590369237676667 51.0947565916762,1.058006955505948 51.09494525744126,1.0567194951787995 51.09508001823075,1.0556036962286042 51.095322586662064,1.054187489868741 51.0954842982427,1.0529429448858307 51.09569991280379,1.0515267385259675 51.09599638118365,1.0506684316412018 51.096373701826984,1.0496813787237214 51.096589312240724,1.0486514104620026 51.09648150715955,1.0479218496099518 51.09610418739594,1.0475785268560456 51.09561905746121,1.0476643575445221 51.09526868267621,1.048265172363858 51.09505306610427,1.0486084951177643 51.09459487755061,1.0490805639043854 51.09459487755061,1.0497242940679596 51.09456792514137,1.050539685608487 51.0946757346841,1.0512692464605378 51.09486440077907,1.0521704686895417 51.09486440077907,1.052685452820401 51.09478354397549,1.0538012517705964 51.0946757346841,1.0549170507207917 51.09459487755061,1.05620451104794 51.09456792514137,1.0570199025884675 51.09454097271639,1.058006955505948 51.09440621035595,1.0586936010137604 51.09429840018482,1.0594660772100495 51.09413668445684,1.0602385534063385 51.09405582638076,1.0612685216680573 51.09386715698671,1.0622126592412995 51.09373239266255,1.063070966126065 51.09354372194888,1.0637146962896393 51.0934359097669,1.0647875798955964 51.093193331438385,1.0657317174688385 51.093004658525345,1.0663754476324128 51.09284293827289,1.0668046010747956 51.092789031396386,1.0678774846807526 51.09262731038989,1.0687357915655182 51.092438635167454,1.069465352417569 51.092411681501446,1.0703236593023346 51.092276912935574,1.071310712219815 51.09208823628355,1.0720831884161042 51.092007374625574,1.0730273259893464 51.09187260488148,1.0736710561529206 51.091845650885524,1.0742289556280182 51.091764788803424,1.074786855103116 51.09165697247397,1.0754735006109284 51.091603064215,1.0762030614629792 51.091522201708706,1.0769755376592682 51.09149524750853,1.0777480138555573 51.091468293292614,1.0786921514287995 51.091468293292614,1.0797221196905182 51.0914143848137,1.0807091726079987 51.091360476271944,1.0815674794927643 51.09144133906102,1.0822541250005768 51.09144133906102,1.083198262573819 51.09149524750853,1.084399892212491 51.091549155893176,1.0856873525396393 51.09171088067012,1.0867602361455964 51.09171088067012,1.087618543030362 51.09181869687387,1.0887343419805573 51.09192651282626,1.089893056274991 51.09203432852729,1.091137601257901 51.09219605160754,1.0921246541753815 51.09224995917526,1.0929400457159089 51.092330820409046,1.093712521912198 51.09251949607133,1.094484998108487 51.09249254245241,1.0954291356817292 51.09260035683381,1.096459103943448 51.092789031396386,1.0973603261724518 51.092896845086536,1.0979182256475495 51.092896845086536,1.0986907018438385 51.092950751837364,1.0997206701055573 51.09297770518919,1.100578976990323 51.093112471712764,1.101823521973233 51.0931663782122,1.1028105748907135 51.09324723784358,1.1040551198736237 51.09324723784358,1.1049563421026276 51.09324723784358,1.1059004796758698 51.09327419102259,1.1068017019048737 51.09327419102259,1.1080891622320221 51.093220284648844,1.1092049611822175 51.09303161184575,1.110363675476651 51.09284293827289,1.1113507283941315 51.09276207793459,1.112037373901944 51.09292379846981,1.1124665273443268 51.093193331438385))",Backscatter S1 VV,Volume of traffic on highway,,,UK12,
"51.09374, 1.10885",GB,,Folkestone,Eurotunnel truck toll to France,Border crossing points: volume of activity,SAR backscatter average over the Sub AOI ,Sentinel-1,S1A - GRD,E12b,2020-01-10T17:48:34,0.0518083785071993,"""3-year statistics [max,min,2017-2019 rolling mean,2020 rolling mean]""",,"[0.067251194100476,0.0432912374502827,0.0505906971867756,0.0558505062666205]",,,,Backscatter S1 VV,Volume of traffic on highway,,,UK12,
"51.09374, 1.10885",GB,,Folkestone,Eurotunnel truck toll to France,Border crossing points: volume of activity,SAR backscatter average over the Sub AOI ,Sentinel-1,S1A - GRD,E12b,2020-01-22T17:48:34,0.0600758604775675,"""3-year statistics [max,min,2017-2019 rolling mean,2020 rolling mean]""",,"[0.053740289295035,0.0421599415398428,0.0511116016044583,0.058747287556177]",,,,Backscatter S1 VV,Volume of traffic on highway,,,UK12,
"51.09374, 1.10885",GB,,Folkestone,Eurotunnel truck toll to France,Border crossing points: volume of activity,SAR backscatter average over the Sub AOI ,Sentinel-1,S1A - GRD,E12b,2020-01-28T17:49:17,0.0643576236837642,"""3-year statistics [max,min,2017-2019 rolling mean,2020 rolling mean]""",,"[0.0571215521623043,0.0488314926809836,0.05470019268726,0.0637662204603652]",,,,Backscatter S1 VV,Volume of traffic on highway,,,UK12,
"51.09374, 1.10885",GB,,Folkestone,Eurotunnel truck toll to France,Border crossing points: volume of activity,SAR backscatter average over the Sub AOI ,Sentinel-1,S1A - GRD,E12b,2020-02-03T17:48:33,0.0668651772197639,"""3-year statistics [max,min,2017-2019 rolling mean,2020 rolling mean]""",,"[0.0756484440833282,0.0498654795555797,0.056747097526684,0.0660498638657041]",,,,Backscatter S1 VV,Volume of traffic on highway,,,UK12,
"51.09374, 1.10885",GB,,Folkestone,Eurotunnel truck toll to France,Border crossing points: volume of activity,SAR backscatter average over the Sub AOI ,Sentinel-1,S1A - GRD,E12b,2020-02-09T17:49:17,0.0669267906935843,"""3-year statistics [max,min,2017-2019 rolling mean,2020 rolling mean]""",,"[0.0665886177686128,0.0483838028651159,0.0548969148503413,0.0637698225865142]",,,,Backscatter S1 VV,Volume of traffic on highway,,,UK12,
"51.09374, 1.10885",GB,,Folkestone,Eurotunnel truck toll to France,Border crossing points: volume of activity,SAR backscatter average over the Sub AOI ,Sentinel-1,S1A - GRD,E12b,2020-02-15T17:48:33,0.0575174998461944,"""3-year statistics [max,min,2017-2019 rolling mean,2020 rolling mean]""",,"[0.0492946741312206,0.0446477934112997,0.0508698884118553,0.0629685767000731]",,,,Backscatter S1 VV,Volume of traffic on highway,,,UK12,
"51.09374, 1.10885",GB,,Folkestone,Eurotunnel truck toll to France,Border crossing points: volume of activity,SAR backscatter average over the Sub AOI ,Sentinel-1,S1A - GRD,E12b,2020-02-27T17:48:33,0.0644614395604405,"""3-year statistics [max,min,2017-2019 rolling mean,2020 rolling mean]""",,"[0.0526259562080318,0.0488427378422925,0.0534469189614781,0.0611325172490884]",,,,Backscatter S1 VV,Volume of traffic on highway,,,UK12,
"51.09374, 1.10885",GB,,Folkestone,Eurotunnel truck toll to France,Border crossing points: volume of activity,SAR backscatter average over the Sub AOI ,Sentinel-1,S1A - GRD,E12b,2020-03-04T17:49:17,0.0614186123406302,"""3-year statistics [max,min,2017-2019 rolling mean,2020 rolling mean]""",,"[0.0773036499601133,0.0530884444230988,0.055748794464723,0.0599768624239792]",,,,Backscatter S1 VV,Volume of traffic on highway,,,UK12,
"51.09374, 1.10885",GB,,Folkestone,Eurotunnel truck toll to France,Border crossing points: volume of activity,SAR backscatter average over the Sub AOI ,Sentinel-1,S1A - GRD,E12b,2020-03-10T17:48:33,0.0540505353708669,"""3-year statistics [max,min,2017-2019 rolling mean,2020 rolling mean]""",,"[0.0569639373341184,0.0499919411025,0.0579603816472898,0.055038982237368]",,,,Backscatter S1 VV,Volume of traffic on highway,,,UK12,
