AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"50.03417,8.55365",DE,,Frankfurt,Flughafen Frankfurt am Main,Airports: Throughput (archived),Count of airplanes on Sentinel-2 image,Sentinel-2,Sentinel 2 L2A,E13b2,2019-06-24T10:30:29,107.2992701,Average value for 2019,2019,100,"X in [91.03347729104996, 108.96652270895004] --> Normal, X < 91.03347729104996 --> Low, X > 108.96652270895004 --> High",Normal,"POLYGON ((8.49161 50.03813, 8.49146 50.03820, 8.49138 50.03822, 8.49000 50.03706, 8.48817 50.03546, 8.48750 50.03487, 8.48840 50.03440, 8.48775 50.03387, 8.49297 50.03136, 8.49472 50.03319, 8.49595 50.03387, 8.49607 50.03407, 8.50259 50.03563, 8.50874 50.03710, 8.50897 50.03713, 8.50914 50.03711, 8.50932 50.03707, 8.51140 50.03642, 8.51141 50.03641, 8.51151 50.03623, 8.51166 50.03610, 8.51186 50.03605, 8.51216 50.03595, 8.51264 50.03580, 8.51267 50.03579, 8.51271 50.03579, 8.51276 50.03579, 8.51280 50.03579, 8.51284 50.03578, 8.51288 50.03577, 8.51415 50.03537, 8.51418 50.03536, 8.51423 50.03536, 8.51427 50.03536, 8.51430 50.03536, 8.51433 50.03537, 8.51480 50.03556, 8.51494 50.03552, 8.51496 50.03551, 8.51498 50.03549, 8.51501 50.03546, 8.51504 50.03543, 8.51507 50.03539, 8.51519 50.03544, 8.51534 50.03539, 8.51538 50.03535, 8.51545 50.03528, 8.51545 50.03528, 8.51555 50.03532, 8.51567 50.03527, 8.51569 50.03528, 8.51580 50.03516, 8.51546 50.03502, 8.51710 50.03456, 8.51753 50.03452, 8.51780 50.03452, 8.51917 50.03464, 8.51939 50.03467, 8.52019 50.03478, 8.52020 50.03484, 8.52031 50.03485, 8.52034 50.03491, 8.52035 50.03499, 8.52054 50.03499, 8.52049 50.03450, 8.52041 50.03382, 8.52043 50.03380, 8.52030 50.03257, 8.52023 50.03207, 8.51998 50.02950, 8.51994 50.02913, 8.51992 50.02888, 8.51993 50.02883, 8.51992 50.02879, 8.51978 50.02760, 8.51969 50.02677, 8.51970 50.02674, 8.51966 50.02673, 8.51978 50.02658, 8.51981 50.02659, 8.51974 50.02602, 8.51958 50.02586, 8.51952 50.02565, 8.51935 50.02480, 8.51930 50.02454, 8.51931 50.02453, 8.51931 50.02451, 8.51931 50.02450, 8.51929 50.02449, 8.51925 50.02421, 8.51922 50.02397, 8.51922 50.02379, 8.51924 50.02362, 8.51926 50.02351, 8.51930 50.02338, 8.51936 50.02324, 8.51946 50.02308, 8.51958 50.02292, 8.51971 50.02279, 8.51984 50.02268, 8.51999 50.02258, 8.52014 50.02249, 8.52032 50.02239, 8.52045 50.02233, 8.52070 50.02224, 8.52090 50.02218, 8.52119 50.02211, 8.52139 50.02206, 8.52173 50.02201, 8.52201 50.02197, 8.52235 50.02193, 8.52261 50.02191, 8.52294 50.02189, 8.52323 50.02187, 8.52322 50.02175, 8.52323 50.02109, 8.52239 50.02105, 8.52206 50.02101, 8.52200 50.02082, 8.52320 50.02086, 8.52336 50.01182, 8.52198 50.01181, 8.52199 50.01038, 8.52335 50.01041, 8.52342 49.99753, 8.52225 49.99753, 8.52225 49.99732, 8.52233 49.99717, 8.52322 49.99654, 8.52334 49.99621, 8.52358 49.99596, 8.52298 49.99444, 8.52390 49.99440, 8.52388 49.99415, 8.52556 49.99405, 8.52591 49.99364, 8.52497 49.99317, 8.52789 49.99280, 8.52832 49.99285, 8.52935 49.99359, 8.52908 49.99410, 8.52868 49.99409, 8.52862 49.99452, 8.52897 49.99462, 8.52863 49.99530, 8.52900 49.99529, 8.52876 49.99591, 8.52872 49.99598, 8.53025 49.99698, 8.53021 50.00134, 8.53013 50.01016, 8.53008 50.01517, 8.53006 50.01643, 8.53002 50.02127, 8.53145 50.02134, 8.53190 50.02144, 8.53218 50.02153, 8.53221 50.02164, 8.53250 50.02297, 8.53267 50.02310, 8.53197 50.02309, 8.53156 50.02299, 8.53028 50.02272, 8.52945 50.02253, 8.52940 50.02261, 8.52933 50.02274, 8.53069 50.02302, 8.53204 50.02333, 8.53403 50.02382, 8.53514 50.02408, 8.53581 50.02425, 8.53610 50.02432, 8.53672 50.02447, 8.53708 50.02455, 8.53963 50.02517, 8.53969 50.02518, 8.54056 50.02363, 8.54113 50.02316, 8.54734 50.02301, 8.54995 50.02294, 8.55012 50.02295, 8.55181 50.02287, 8.55264 50.02291, 8.55462 50.02327, 8.55545 50.02328, 8.55667 50.02316, 8.55701 50.02307, 8.55714 50.02304, 8.55747 50.02295, 8.55757 50.02294, 8.55764 50.02293, 8.55840 50.02273, 8.55846 50.02275, 8.55863 50.02278, 8.55879 50.02281, 8.55897 50.02251, 8.55899 50.02251, 8.56145 50.02183, 8.56162 50.02180, 8.56179 50.02181, 8.56517 50.02259, 8.57083 50.02396, 8.57094 50.02396, 8.57102 50.02393, 8.57212 50.02212, 8.57268 50.02194, 8.57815 50.02326, 8.58108 50.02399, 8.58202 50.02323, 8.58270 50.02277, 8.58248 50.02252, 8.58375 50.02206, 8.58441 50.02228, 8.58515 50.02221, 8.58533 50.02240, 8.58565 50.02224, 8.58629 50.02116, 8.58640 50.02108, 8.58663 50.02100, 8.58681 50.02099, 8.58707 50.02101, 8.58732 50.02109, 8.58758 50.02121, 8.58871 50.02227, 8.58973 50.02322, 8.59090 50.02431, 8.59104 50.02431, 8.59106 50.02433, 8.59123 50.02458, 8.59128 50.02606, 8.59166 50.02782, 8.59246 50.03014, 8.59355 50.03282, 8.59363 50.03275, 8.59368 50.03255, 8.59399 50.03328, 8.59398 50.03339, 8.59387 50.03360, 8.59362 50.03379, 8.59248 50.03414, 8.59240 50.03418, 8.59239 50.03423, 8.59269 50.03449, 8.59305 50.03491, 8.59331 50.03515, 8.59335 50.03574, 8.59376 50.03637, 8.59548 50.03711, 8.59579 50.03743, 8.59625 50.03833, 8.59632 50.03844, 8.59669 50.03925, 8.59666 50.03932, 8.59694 50.03974, 8.59706 50.03984, 8.59731 50.04025, 8.59768 50.04096, 8.59795 50.04146, 8.59815 50.04186, 8.59856 50.04265, 8.59882 50.04318, 8.59940 50.04435, 8.59963 50.04480, 8.59989 50.04532, 8.60005 50.04554, 8.60010 50.04574, 8.60027 50.04613, 8.60035 50.04640, 8.60069 50.04711, 8.60085 50.04748, 8.60102 50.04782, 8.60127 50.04846, 8.60158 50.04926, 8.60167 50.04958, 8.60167 50.04993, 8.60169 50.05026, 8.60165 50.05064, 8.60148 50.05109, 8.60130 50.05135, 8.60105 50.05158, 8.60061 50.05191, 8.60021 50.05211, 8.59981 50.05228, 8.59935 50.05239, 8.59797 50.05257, 8.59713 50.05265, 8.59674 50.05267, 8.59665 50.05270, 8.59658 50.05272, 8.59651 50.05277, 8.59647 50.05280, 8.59643 50.05285, 8.59628 50.05285, 8.59626 50.05265, 8.59633 50.05262, 8.59654 50.05259, 8.59720 50.05255, 8.59754 50.05252, 8.59800 50.05248, 8.59803 50.05246, 8.59866 50.05238, 8.59910 50.05232, 8.59943 50.05225, 8.59970 50.05217, 8.59996 50.05208, 8.60023 50.05195, 8.60054 50.05178, 8.60077 50.05161, 8.60068 50.05156, 8.60063 50.05157, 8.60064 50.05149, 8.60048 50.05144, 8.60036 50.05142, 8.60013 50.05142, 8.60011 50.05173, 8.59997 50.05173, 8.59996 50.05182, 8.59985 50.05182, 8.59984 50.05190, 8.59915 50.05188, 8.59915 50.05196, 8.59929 50.05196, 8.59929 50.05204, 8.59926 50.05204, 8.59926 50.05208, 8.59917 50.05208, 8.59917 50.05203, 8.59904 50.05202, 8.59904 50.05200, 8.59839 50.05198, 8.59838 50.05228, 8.59821 50.05229, 8.59818 50.05232, 8.59807 50.05237, 8.59776 50.05240, 8.59727 50.05244, 8.59653 50.05247, 8.59538 50.05252, 8.59390 50.05259, 8.59379 50.05258, 8.59370 50.05256, 8.59366 50.05253, 8.59364 50.05249, 8.59362 50.05210, 8.59357 50.05210, 8.59349 50.05209, 8.59349 50.05211, 8.59344 50.05211, 8.59344 50.05209, 8.59338 50.05209, 8.59331 50.05209, 8.59331 50.05206, 8.59329 50.05206, 8.59327 50.05206, 8.59327 50.05213, 8.59329 50.05233, 8.59330 50.05233, 8.59334 50.05273, 8.59272 50.05275, 8.59272 50.05271, 8.59271 50.05269, 8.59271 50.05265, 8.59271 50.05262, 8.59102 50.05272, 8.58838 50.05290, 8.58784 50.05278, 8.58781 50.05284, 8.58561 50.05290, 8.58423 50.05291, 8.58389 50.05293, 8.58360 50.05293, 8.58240 50.05289, 8.58205 50.05307, 8.58082 50.05306, 8.58073 50.05301, 8.58015 50.05302, 8.58009 50.05303, 8.57979 50.05303, 8.57953 50.05305, 8.57941 50.05307, 8.57934 50.05307, 8.57929 50.05306, 8.57925 50.05304, 8.57921 50.05301, 8.57918 50.05297, 8.57918 50.05293, 8.57919 50.05287, 8.57922 50.05272, 8.57926 50.05272, 8.57929 50.05262, 8.57929 50.05261, 8.57925 50.05261, 8.57927 50.05251, 8.57932 50.05236, 8.57935 50.05230, 8.57938 50.05228, 8.57944 50.05226, 8.57947 50.05227, 8.57952 50.05227, 8.58025 50.05233, 8.58029 50.05217, 8.58030 50.05212, 8.58049 50.05130, 8.58029 50.05128, 8.58008 50.05126, 8.57996 50.05125, 8.57992 50.05125, 8.57978 50.05123, 8.57968 50.05122, 8.57965 50.05125, 8.57956 50.05122, 8.57949 50.05120, 8.57943 50.05119, 8.57934 50.05119, 8.57921 50.05118, 8.57922 50.05119, 8.57926 50.05128, 8.57924 50.05128, 8.57919 50.05129, 8.57915 50.05130, 8.57915 50.05134, 8.57915 50.05136, 8.57915 50.05144, 8.57915 50.05157, 8.57909 50.05167, 8.57905 50.05177, 8.57902 50.05179, 8.57895 50.05196, 8.57909 50.05205, 8.57911 50.05207, 8.57905 50.05215, 8.57900 50.05217, 8.57894 50.05218, 8.57858 50.05220, 8.57831 50.05221, 8.57794 50.05221, 8.57771 50.05219, 8.57727 50.05212, 8.57631 50.05189, 8.57563 50.05175, 8.57559 50.05175, 8.57559 50.05174, 8.57549 50.05173, 8.57543 50.05174, 8.57536 50.05174, 8.57529 50.05176, 8.57520 50.05175, 8.57524 50.05168, 8.57512 50.05165, 8.57512 50.05164, 8.57480 50.05157, 8.57475 50.05155, 8.57471 50.05164, 8.57469 50.05166, 8.57310 50.05129, 8.57304 50.05127, 8.57302 50.05127, 8.57299 50.05126, 8.57025 50.05060, 8.57023 50.05060, 8.57019 50.05059, 8.57017 50.05058, 8.57015 50.05058, 8.56861 50.05021, 8.56858 50.05020, 8.56861 50.05017, 8.56845 50.05013, 8.56727 50.04986, 8.56759 50.04929, 8.56764 50.04918, 8.56709 50.04904, 8.56707 50.04904, 8.56671 50.04895, 8.56669 50.04900, 8.56650 50.04932, 8.56636 50.04937, 8.56629 50.04943, 8.56593 50.04957, 8.56562 50.04955, 8.56550 50.04956, 8.56519 50.04965, 8.56510 50.04953, 8.56497 50.04959, 8.56492 50.04960, 8.56494 50.04965, 8.56481 50.04986, 8.56469 50.04983, 8.56467 50.04985, 8.56464 50.04991, 8.56460 50.04995, 8.56456 50.04998, 8.56453 50.05001, 8.56452 50.05001, 8.56448 50.05005, 8.56442 50.05011, 8.56434 50.05018, 8.56403 50.05033, 8.56396 50.05032, 8.56391 50.05030, 8.56324 50.04993, 8.56315 50.04988, 8.56284 50.04971, 8.56262 50.04959, 8.56252 50.04952, 8.56240 50.04940, 8.56239 50.04933, 8.56245 50.04918, 8.56249 50.04908, 8.56261 50.04888, 8.56265 50.04881, 8.56274 50.04864, 8.56281 50.04851, 8.56267 50.04848, 8.56258 50.04846, 8.56249 50.04844, 8.56237 50.04866, 8.56218 50.04861, 8.56201 50.04892, 8.56203 50.04892, 8.56200 50.04898, 8.56198 50.04898, 8.56196 50.04902, 8.56110 50.04882, 8.56112 50.04878, 8.56110 50.04877, 8.56114 50.04871, 8.56091 50.04865, 8.56122 50.04849, 8.56116 50.04826, 8.56115 50.04819, 8.56108 50.04818, 8.56111 50.04813, 8.56056 50.04801, 8.56054 50.04804, 8.56047 50.04802, 8.56038 50.04805, 8.55997 50.04796, 8.55994 50.04792, 8.55882 50.04765, 8.55879 50.04771, 8.55860 50.04767, 8.55804 50.04796, 8.55808 50.04825, 8.55772 50.04817, 8.55757 50.04818, 8.55747 50.04819, 8.55245 50.04709, 8.55174 50.04685, 8.54721 50.04576, 8.54766 50.04496, 8.54727 50.04486, 8.54718 50.04484, 8.54720 50.04481, 8.54716 50.04473, 8.54679 50.04463, 8.54659 50.04457, 8.54632 50.04467, 8.54612 50.04473, 8.54588 50.04480, 8.54571 50.04484, 8.54556 50.04487, 8.54535 50.04490, 8.54514 50.04494, 8.54495 50.04496, 8.54476 50.04498, 8.54458 50.04499, 8.54443 50.04499, 8.54420 50.04500, 8.54418 50.04503, 8.54415 50.04502, 8.54392 50.04495, 8.54350 50.04482, 8.54349 50.04483, 8.54339 50.04482, 8.54326 50.04498, 8.54323 50.04501, 8.54305 50.04493, 8.54303 50.04493, 8.54264 50.04491, 8.54091 50.04480, 8.53992 50.04473, 8.53950 50.04456, 8.53938 50.04457, 8.53923 50.04470, 8.53916 50.04477, 8.53844 50.04448, 8.53830 50.04448, 8.53828 50.04450, 8.53811 50.04467, 8.53754 50.04443, 8.53735 50.04441, 8.53723 50.04454, 8.53721 50.04455, 8.53754 50.04470, 8.53761 50.04474, 8.53788 50.04493, 8.54034 50.04601, 8.53969 50.04715, 8.53980 50.04718, 8.54329 50.04801, 8.54332 50.04802, 8.54333 50.04804, 8.54331 50.04818, 8.54322 50.04819, 8.53971 50.04735, 8.53959 50.04733, 8.53915 50.04808, 8.53909 50.04818, 8.53856 50.04821, 8.53796 50.04825, 8.53744 50.04830, 8.53634 50.04842, 8.53620 50.04843, 8.53435 50.04832, 8.53411 50.04831, 8.53397 50.04828, 8.53330 50.04812, 8.53326 50.04811, 8.53277 50.04800, 8.53240 50.04791, 8.53092 50.04755, 8.53088 50.04754, 8.53025 50.04739, 8.53023 50.04738, 8.52984 50.04729, 8.52803 50.04685, 8.52562 50.04627, 8.52321 50.04569, 8.52170 50.04533, 8.51968 50.04485, 8.51768 50.04437, 8.51648 50.04409, 8.51508 50.04376, 8.51402 50.04352, 8.51191 50.04301, 8.50982 50.04249, 8.50735 50.04190, 8.50508 50.04135, 8.50444 50.04121, 8.50431 50.04078, 8.50323 50.04091, 8.50227 50.04068, 8.50030 50.04021, 8.49822 50.03971, 8.49611 50.03921, 8.49496 50.03893, 8.49379 50.03865, 8.49269 50.03838, 8.49161 50.03813), (8.53470 50.04348, 8.53472 50.04347, 8.53474 50.04344, 8.53477 50.04341, 8.53480 50.04338, 8.53483 50.04335, 8.53487 50.04331, 8.53574 50.04366, 8.53594 50.04367, 8.53602 50.04359, 8.53609 50.04353, 8.53655 50.04371, 8.53671 50.04372, 8.53673 50.04370, 8.53692 50.04350, 8.53737 50.04368, 8.53742 50.04363, 8.53745 50.04363, 8.54027 50.04382, 8.54072 50.04399, 8.54072 50.04398, 8.54082 50.04399, 8.54099 50.04382, 8.54094 50.04380, 8.53644 50.04206, 8.53600 50.04187, 8.53595 50.04185, 8.53275 50.04058, 8.53238 50.04042, 8.53131 50.04001, 8.53086 50.03984, 8.53040 50.03970, 8.52990 50.03957, 8.52822 50.03917, 8.52777 50.03904, 8.52709 50.03887, 8.52640 50.03868, 8.52575 50.03856, 8.52517 50.03842, 8.5245 50.03820, 8.52380 50.03793, 8.52311 50.03765, 8.52254 50.03742, 8.52213 50.03725, 8.52170 50.03706, 8.52167 50.03709, 8.52140 50.03693, 8.52122 50.03678, 8.52103 50.03660, 8.52092 50.03648, 8.52082 50.03632, 8.52075 50.03621, 8.52068 50.03606, 8.52063 50.03584, 8.52062 50.03566, 8.52041 50.03564, 8.52044 50.03589, 8.51990 50.03582, 8.51795 50.03570, 8.51762 50.03571, 8.51738 50.03579, 8.51716 50.03572, 8.51614 50.03603, 8.51608 50.03606, 8.51621 50.03611, 8.51624 50.03617, 8.51625 50.03620, 8.51626 50.03623, 8.51624 50.03628, 8.51617 50.03633, 8.51600 50.03640, 8.51403 50.03701, 8.51394 50.03703, 8.51385 50.03702, 8.51338 50.03697, 8.51324 50.03701, 8.51311 50.03705, 8.51290 50.03712, 8.51269 50.03721, 8.51252 50.03730, 8.51238 50.03742, 8.51232 50.03762, 8.51239 50.03777, 8.51247 50.03788, 8.51266 50.03800, 8.51293 50.03812, 8.51311 50.03817, 8.51374 50.03833, 8.51612 50.03888, 8.51796 50.03932, 8.51820 50.03891, 8.51826 50.03879, 8.51834 50.03872, 8.51839 50.03873, 8.51864 50.03876, 8.51883 50.03879, 8.51900 50.03883, 8.51992 50.03906, 8.51984 50.03918, 8.51975 50.03933, 8.52002 50.03940, 8.52028 50.03933, 8.52040 50.03931, 8.52050 50.03928, 8.52059 50.03923, 8.52065 50.03918, 8.52074 50.03906, 8.52093 50.03904, 8.52116 50.03900, 8.52120 50.03905, 8.52126 50.03910, 8.52134 50.03913, 8.52139 50.03913, 8.52145 50.03913, 8.52149 50.03913, 8.52153 50.03913, 8.52156 50.03916, 8.52160 50.03918, 8.52250 50.03942, 8.52275 50.03948, 8.52285 50.03951, 8.52235 50.04038, 8.52607 50.04127, 8.52609 50.04127, 8.52614 50.04128, 8.52978 50.04216, 8.53146 50.04225, 8.53376 50.04315, 8.53410 50.04323, 8.53470 50.04348))",Number of parked airplanes," Time series of airport throughput at Flughafen Frankfurt am Main",BLUE,Aerospacelab SPRL,DE6,Archived
"50.03417,8.55365",DE,,Frankfurt,Flughafen Frankfurt am Main,Airports: Throughput (archived),Count of airplanes on Sentinel-2 image,Sentinel-2,Sentinel 2 L2A,E13b2,2019-06-29T10:30:31,97.44525547,Average value for 2019,2019,100,"X in [91.03347729104996, 108.96652270895004] --> Normal, X < 91.03347729104996 --> Low, X > 108.96652270895004 --> High",Normal,,Number of parked airplanes," Time series of airport throughput at Flughafen Frankfurt am Main",BLUE,Aerospacelab SPRL,DE6,Archived
"50.03417,8.55365",DE,,Frankfurt,Flughafen Frankfurt am Main,Airports: Throughput (archived),Count of airplanes on Sentinel-2 image,Sentinel-2,Sentinel 2 L2A,E13b2,2019-07-04T10:30:29,90.87591241,Average value for 2019,2019,100,"X in [91.03347729104996, 108.96652270895004] --> Normal, X < 91.03347729104996 --> Low, X > 108.96652270895004 --> High",Low,,Number of parked airplanes," Time series of airport throughput at Flughafen Frankfurt am Main",GREEN,Aerospacelab SPRL,DE6,Archived
"50.03417,8.55365",DE,,Frankfurt,Flughafen Frankfurt am Main,Airports: Throughput (archived),Count of airplanes on Sentinel-2 image,Sentinel-2,Sentinel 2 L2A,E13b2,2019-07-24T10:30:29,98.54014599,Average value for 2019,2019,100,"X in [91.03347729104996, 108.96652270895004] --> Normal, X < 91.03347729104996 --> Low, X > 108.96652270895004 --> High",Normal,,Number of parked airplanes," Time series of airport throughput at Flughafen Frankfurt am Main",BLUE,Aerospacelab SPRL,DE6,Archived
"50.03417,8.55365",DE,,Frankfurt,Flughafen Frankfurt am Main,Airports: Throughput (archived),Count of airplanes on Sentinel-2 image,Sentinel-2,Sentinel 2 L2A,E13b2,2019-08-23T10:30:29,91.97080292,Average value for 2019,2019,100,"X in [91.03347729104996, 108.96652270895004] --> Normal, X < 91.03347729104996 --> Low, X > 108.96652270895004 --> High",Normal,,Number of parked airplanes," Time series of airport throughput at Flughafen Frankfurt am Main",BLUE,Aerospacelab SPRL,DE6,Archived
"50.03417,8.55365",DE,,Frankfurt,Flughafen Frankfurt am Main,Airports: Throughput (archived),Count of airplanes on Sentinel-2 image,Sentinel-2,Sentinel 2 L2A,E13b2,2019-10-12T10:30:29,113.8686131,Average value for 2019,2019,100,"X in [91.03347729104996, 108.96652270895004] --> Normal, X < 91.03347729104996 --> Low, X > 108.96652270895004 --> High",High,,Number of parked airplanes," Time series of airport throughput at Flughafen Frankfurt am Main",RED,Aerospacelab SPRL,DE6,Archived
"50.03417,8.55365",DE,,Frankfurt,Flughafen Frankfurt am Main,Airports: Throughput (archived),Count of airplanes on Sentinel-2 image,Sentinel-2,Sentinel 2 L2A,E13b2,2020-03-25T10:30:21,108.3941606,Average value for 2019,2019,100,"X in [91.03347729104996, 108.96652270895004] --> Normal, X < 91.03347729104996 --> Low, X > 108.96652270895004 --> High",Normal,,Number of parked airplanes," Time series of airport throughput at Flughafen Frankfurt am Main",BLUE,Aerospacelab SPRL,DE6,Archived
"50.03417,8.55365",DE,,Frankfurt,Flughafen Frankfurt am Main,Airports: Throughput (archived),Count of airplanes on Sentinel-2 image,Sentinel-2,Sentinel 2 L2A,E13b2,2020-03-30T10:26:09,116.0583942,Average value for 2019,2019,100,"X in [91.03347729104996, 108.96652270895004] --> Normal, X < 91.03347729104996 --> Low, X > 108.96652270895004 --> High",High,,Number of parked airplanes," Time series of airport throughput at Flughafen Frankfurt am Main",RED,Aerospacelab SPRL,DE6,Archived
"50.03417,8.55365",DE,,Frankfurt,Flughafen Frankfurt am Main,Airports: Throughput (archived),Count of airplanes on Sentinel-2 image,Sentinel-2,Sentinel 2 L2A,E13b2,2020-04-04T10:30:21,116.0583942,Average value for 2019,2019,100,"X in [91.03347729104996, 108.96652270895004] --> Normal, X < 91.03347729104996 --> Low, X > 108.96652270895004 --> High",High,,Number of parked airplanes," Time series of airport throughput at Flughafen Frankfurt am Main",RED,Aerospacelab SPRL,DE6,Archived
"50.03417,8.55365",DE,,Frankfurt,Flughafen Frankfurt am Main,Airports: Throughput (archived),Count of airplanes on Sentinel-2 image,Sentinel-2,Sentinel 2 L2A,E13b2,2020-04-09T10:25:59,110.5839416,Average value for 2019,2019,100,"X in [91.03347729104996, 108.96652270895004] --> Normal, X < 91.03347729104996 --> Low, X > 108.96652270895004 --> High",High,,Number of parked airplanes," Time series of airport throughput at Flughafen Frankfurt am Main",RED,Aerospacelab SPRL,DE6,Archived
