AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"44.405723, 8.933642",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-02-01T00:00:00,272,Number of boats in the same period of 2019,2019-02-01T00:00:00,227,,,"POLYGON((8.770345576688365 44.430977118291324,8.953679927274303 44.430977118291324,8.953679927274303 44.388302871372716,8.770345576688365 44.388302871372716,8.770345576688365 44.430977118291324))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"44.405723, 8.933642",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-02-15T00:00:00,290,Number of boats in the same period of 2020,2019-02-15T00:00:00,252,,,"POLYGON((8.770345576688365 44.430977118291324,8.953679927274303 44.430977118291324,8.953679927274303 44.388302871372716,8.770345576688365 44.388302871372716,8.770345576688365 44.430977118291324))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"44.405723, 8.933642",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-03-01T00:00:00,283,Number of boats in the same period of 2021,2019-03-01T00:00:00,282,,,"POLYGON((8.770345576688365 44.430977118291324,8.953679927274303 44.430977118291324,8.953679927274303 44.388302871372716,8.770345576688365 44.388302871372716,8.770345576688365 44.430977118291324))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"44.405723, 8.933642",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-03-15T00:00:00,280,Number of boats in the same period of 2022,2019-03-15T00:00:00,326,,,"POLYGON((8.770345576688365 44.430977118291324,8.953679927274303 44.430977118291324,8.953679927274303 44.388302871372716,8.770345576688365 44.388302871372716,8.770345576688365 44.430977118291324))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"44.405723, 8.933642",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-04-01T00:00:00,215,Number of boats in the same period of 2023,2019-04-01T00:00:00,263,,,"POLYGON((8.770345576688365 44.430977118291324,8.953679927274303 44.430977118291324,8.953679927274303 44.388302871372716,8.770345576688365 44.388302871372716,8.770345576688365 44.430977118291324))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"44.405723, 8.933642",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-04-15T00:00:00,267,Number of boats in the same period of 2024,2019-04-15T00:00:00,314,,,"POLYGON((8.770345576688365 44.430977118291324,8.953679927274303 44.430977118291324,8.953679927274303 44.388302871372716,8.770345576688365 44.388302871372716,8.770345576688365 44.430977118291324))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"44.405723, 8.933642",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-05-01T00:00:00,219,Number of boats in the same period of 2025,2019-05-01T00:00:00,269,,,"POLYGON((8.770345576688365 44.430977118291324,8.953679927274303 44.430977118291324,8.953679927274303 44.388302871372716,8.770345576688365 44.388302871372716,8.770345576688365 44.430977118291324))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"44.405723, 8.933642",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-05-15T00:00:00,254,Number of boats in the same period of 2026,2019-05-15T00:00:00,361,,,"POLYGON((8.770345576688365 44.430977118291324,8.953679927274303 44.430977118291324,8.953679927274303 44.388302871372716,8.770345576688365 44.388302871372716,8.770345576688365 44.430977118291324))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT3,
"38.453396, 15.902403",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-02-01T00:00:00,168,Average number of ships in reference period April 2019,2019-02-01T00:00:00,133,,,"POLYGON((15.886416847818419 38.47895109271202,15.922809059732481 38.47895109271202,15.922809059732481 38.437414835658586,15.886416847818419 38.437414835658586,15.886416847818419 38.47895109271202))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT16,
"38.453396, 15.902403",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13e,2020-02-15T00:00:00,154,Average number of ships in reference period April 2019,2019-02-15T00:00:00,88,,,"POLYGON((15.886416847818419 38.47895109271202,15.922809059732481 38.47895109271202,15.922809059732481 38.437414835658586,15.886416847818419 38.437414835658586,15.886416847818419 38.47895109271202))",Number of ships in the port,Changes in Cargo Ships traffic in the port,PRIMARY,e-GEOS,IT16,
