AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-02-01T00:00:00,148,Number of boat in the same period of 2019,2019-02-01T00:00:00,175,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT3,
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-02-15T00:00:00,170,Number of boat in the same period of 2020,2019-02-15T00:00:00,173,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT3,
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-03-01T00:00:00,133,Number of boat in the same period of 2021,2019-03-01T00:00:00,161,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT3,
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-03-15T00:00:00,154,Number of boat in the same period of 2022,2019-03-15T00:00:00,194,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT3,
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-04-01T00:00:00,126,Number of boat in the same period of 2023,2019-04-01T00:00:00,188,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT3,
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-04-15T00:00:00,166,Number of boat in the same period of 2024,2019-04-15T00:00:00,185,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT3,
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-05-01T00:00:00,123,Number of boat in the same period of 2025,2019-05-01T00:00:00,146,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT3,
"44.40572, 8.93364",IT,Liguria,Genoa,Port of Genoa,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-05-15T00:00:00,160,Number of boat in the same period of 2026,2019-05-15T00:00:00,204,,,"POLYGON((8.77034 44.43097,8.95367 44.43097,8.95367 44.38830,8.77034 44.38830,8.77034 44.43097))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT3,
"38.45339, 15.90240",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-02-01T00:00:00,11,Average number of ships in reference period April 2019,2019-02-01T00:00:00,16,,,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT16,
"38.45339, 15.90240",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-02-15T00:00:00,6,Average number of ships in reference period April 2019,2019-02-15T00:00:00,26,,,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT16,
"38.45339, 15.90240",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-03-01T00:00:00,12,Average number of ships in reference period April 2019,2019-03-01T00:00:00,14,,,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT16,
"38.45339, 15.90240",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-03-15T00:00:00,17,Average number of ships in reference period April 2019,2019-03-15T00:00:00,32,,,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT16,
"38.45339, 15.90240",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-04-01T00:00:00,13,Average number of ships in reference period April 2019,2019-04-01T00:00:00,25,,,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT16,
"38.45339, 15.90240",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-04-15T00:00:00,18,Average number of ships in reference period April 2019,2019-04-15T00:00:00,24,,,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT16,
"38.45339, 15.90240",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-05-01T00:00:00,20,Average number of ships in reference period April 2019,2019-05-01T00:00:00,36,,,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT16,
"38.45339, 15.90240",IT,Calabria,Gioia Tauro,Port of Gioia Tauro,Maritime traffic: AIS data,AIS data analysis as indicator of the changes between 2019 and 2020 commercial and passegner activities,AIS,AIS,E13g,2020-05-15T00:00:00,29,Average number of ships in reference period April 2019,2019-05-15T00:00:00,34,,,"POLYGON((15.88641 38.47895,15.92280 38.47895,15.92280 38.43741,15.88641 38.43741,15.88641 38.47895))",Number of ships in the port,Changes in Tanker Ships traffic in the port,,e-GEOS,IT16,
