AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"43.54378,-5.67329",ES, Asturias,Gijon,Gijon - Puerto de el Musel,"Ports and Shipping - traffic (AIS, Sentinel-1, mobile)",Vodafone Traffic data,,,E13n,2019-02-01T00:00:00,100,Percentage of Incoming Fluxes from Spain to Port of Gijon in FEB 2019 with reference to FEB 19,2019-02-01T00:00:00,100,"X is the Measurement value. If  X<(ref_value-30%ref_value) Low, X >(ref_value+30%ref_value) high, (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal",Incoming domestic,"MULTIPOLYGON(((-5.74569 43.60658,-5.74569 43.49888,-5.58978 43.49888,-5.58978 43.60658,-5.74569 43.60658)))",% Variation compated  to Febuary 2019,,BLUE,SISTEMA,ES7,Once
"43.54378,-5.67329",ES, Asturias,Gijon,Gijon - Puerto de el Musel,"Ports and Shipping - traffic (AIS, Sentinel-1, mobile)",Vodafone Traffic data,,,E13n,2019-02-01T00:00:00,100,Percentage of Incoming Fluxes from Spain to Port of Gijon in FEB 2019 with reference to FEB 19,2019-02-01T00:00:00,100,"X is the Measurement value. If  X<(ref_value-30%ref_value) Low, X >(ref_value+30%ref_value) high, (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal",Outgoing domestic,"MULTIPOLYGON(((-5.74569 43.60658,-5.74569 43.49888,-5.58978 43.49888,-5.58978 43.60658,-5.74569 43.60658)))",% Variation compated  to Febuary 2019,,BLUE,SISTEMA,ES7,Once
"43.54378,-5.67329",ES, Asturias,Gijon,Gijon - Puerto de el Musel,"Ports and Shipping - traffic (AIS, Sentinel-1, mobile)",Vodafone Traffic data,,,E13n,2019-02-01T00:00:00,100,Percentage of Incoming Fluxes from Spain to Port of Gijon in FEB 2019 with reference to FEB 19,2019-02-01T00:00:00,100,"X is the Measurement value. If  X<(ref_value-30%ref_value) Low, X >(ref_value+30%ref_value) high, (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal",Incoming International,"MULTIPOLYGON(((-5.74569 43.60658,-5.74569 43.49888,-5.58978 43.49888,-5.58978 43.60658,-5.74569 43.60658)))",% Variation compated  to Febuary 2019,,BLUE,SISTEMA,ES7,Once
"43.54378,-5.67329",ES, Asturias,Gijon,Gijon - Puerto de el Musel,"Ports and Shipping - traffic (AIS, Sentinel-1, mobile)",Vodafone Traffic data,,,E13n,2019-04-01T00:00:00,24.37,Percentage of Incoming Fluxes from Spain to Port of Gijon in FEB 2019 with reference to FEB 19,2019-02-01T00:00:00,100,"X is the Measurement value. If  X<(ref_value-30%ref_value) Low, X >(ref_value+30%ref_value) high, (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal",Incoming domestic,"MULTIPOLYGON(((-5.74569 43.60658,-5.74569 43.49888,-5.58978 43.49888,-5.58978 43.60658,-5.74569 43.60658)))",% Variation compated  to Febuary 2019,,RED,SISTEMA,ES7,Once
"43.54378,-5.67329",ES, Asturias,Gijon,Gijon - Puerto de el Musel,"Ports and Shipping - traffic (AIS, Sentinel-1, mobile)",Vodafone Traffic data,,,E13n,2019-04-01T00:00:00,22.19,Percentage of Incoming Fluxes from Spain to Port of Gijon in FEB 2019 with reference to FEB 19,2019-02-01T00:00:00,100,"X is the Measurement value. If  X<(ref_value-30%ref_value) Low, X >(ref_value+30%ref_value) high, (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal",Outgoing domestic,"MULTIPOLYGON(((-5.74569 43.60658,-5.74569 43.49888,-5.58978 43.49888,-5.58978 43.60658,-5.74569 43.60658)))",% Variation compated  to Febuary 2019,,RED,SISTEMA,ES7,Once
"43.54378,-5.67329",ES, Asturias,Gijon,Gijon - Puerto de el Musel,"Ports and Shipping - traffic (AIS, Sentinel-1, mobile)",Vodafone Traffic data,,,E13n,2019-04-01T00:00:00,22.19,Percentage of Incoming Fluxes from Spain to Port of Gijon in FEB 2019 with reference to FEB 19,2019-02-01T00:00:00,100,"X is the Measurement value. If  X<(ref_value-30%ref_value) Low, X >(ref_value+30%ref_value) high, (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal",Incoming International,"MULTIPOLYGON(((-5.74569 43.60658,-5.74569 43.49888,-5.58978 43.49888,-5.58978 43.60658,-5.74569 43.60658)))",% Variation compated  to Febuary 2019,,RED,SISTEMA,ES7,Once
"43.54378,-5.67329",ES, Asturias,Gijon,Gijon - Puerto de el Musel,"Ports and Shipping - traffic (AIS, Sentinel-1, mobile)",Vodafone Traffic data,,,E13n,2019-09-01T00:00:00,48.27,Percentage of Incoming Fluxes from Spain to Port of Gijon in FEB 2019 with reference to FEB 19,2019-02-01T00:00:00,100,"X is the Measurement value. If  X<(ref_value-30%ref_value) Low, X >(ref_value+30%ref_value) high, (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal",Incoming domestic,"MULTIPOLYGON(((-5.74569 43.60658,-5.74569 43.49888,-5.58978 43.49888,-5.58978 43.60658,-5.74569 43.60658)))",% Variation compated  to Febuary 2019,,RED,SISTEMA,ES7,Once
"43.54378,-5.67329",ES, Asturias,Gijon,Gijon - Puerto de el Musel,"Ports and Shipping - traffic (AIS, Sentinel-1, mobile)",Vodafone Traffic data,,,E13n,2019-09-01T00:00:00,32.3,Percentage of Incoming Fluxes from Spain to Port of Gijon in FEB 2019 with reference to FEB 19,2019-02-01T00:00:00,100,"X is the Measurement value. If  X<(ref_value-30%ref_value) Low, X >(ref_value+30%ref_value) high, (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal",Outgoing domestic,"MULTIPOLYGON(((-5.74569 43.60658,-5.74569 43.49888,-5.58978 43.49888,-5.58978 43.60658,-5.74569 43.60658)))",% Variation compated  to Febuary 2019,,RED,SISTEMA,ES7,Once
"43.54378,-5.67329",ES, Asturias,Gijon,Gijon - Puerto de el Musel,"Ports and Shipping - traffic (AIS, Sentinel-1, mobile)",Vodafone Traffic data,,,E13n,2019-09-01T00:00:00,184.25,Percentage of Incoming Fluxes from Spain to Port of Gijon in FEB 2019 with reference to FEB 19,2019-02-01T00:00:00,100,"X is the Measurement value. If  X<(ref_value-30%ref_value) Low, X >(ref_value+30%ref_value) high, (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal",Incoming International,"MULTIPOLYGON(((-5.74569 43.60658,-5.74569 43.49888,-5.58978 43.49888,-5.58978 43.60658,-5.74569 43.60658)))",% Variation compated  to Febuary 2019,,GREEN,SISTEMA,ES7,Once
"43.54378,-5.67329",ES, Asturias,Gijon,Gijon - Puerto de el Musel,"Ports and Shipping - traffic (AIS, Sentinel-1, mobile)",Vodafone Traffic data,,,E13n,2020-02-01T00:00:00,25.38,Percentage of Incoming Fluxes from Spain to Port of Gijon in FEB 2019 with reference to FEB 19,2019-02-01T00:00:00,100,"X is the Measurement value. If  X<(ref_value-30%ref_value) Low, X >(ref_value+30%ref_value) high, (ref_value-30%ref_value)<=X<=(ref_value+30%ref_value) Normal",Incoming domestic,"MULTIPOLYGON(((-5.74569 43.60658,-5.74569 43.49888,-5.58978 43.49888,-5.58978 43.60658,-5.74569 43.60658)))",% Variation compated  to Febuary 2019,,RED,SISTEMA,ES7,Once
