AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-01-09T00:00:00,0.021507999,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0392012576295165,0.0208977726445704,0.0289656277485373,]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-01-15T00:00:00,0.015980855,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0297303484967702,0.0287872381083525,0.0293454916881896,0.0177598343149988]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-01-21T00:00:00,0.01579065,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0342215755153739,0.0295052976385827,0.0319544928467866,0.0157639334433022]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-01-27T00:00:00,0.015520296,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0298057462648232,0.0277268159761239,0.028617667490196,0.0168148971801996]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-02-08T00:00:00,0.019133746,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0340251462027024,0.0270271343194282,0.0314598568265814,0.0187074859023073]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-02-14T00:00:00,0.021468416,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.035107507718483,0.0300607630262823,0.0324374255700031,0.0216975980391593]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-02-20T00:00:00,0.024490632,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0367197740358799,0.025263877101319,0.0297955901158339,0.0234775896809091]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-02-26T00:00:00,0.024473721,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0375664364614459,0.0240380923874633,0.0329937155602221,0.0248167515442858]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-03-04T00:00:00,0.025485901,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0404948691518634,0.0187672223735551,0.0318065750538427,0.0253343870866422]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-03-10T00:00:00,0.026043539,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0388686986137302,0.019819833417975,0.0323119210446994,0.0248338345336126]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-03-16T00:00:00,0.022972063,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0459303759260818,0.0211251596624085,0.0345103100936837,0.0237087250805356]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-03-22T00:00:00,0.022110573,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.048017550301398,0.0242884611514222,0.0366443488931989,0.0227131625218543]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-03-28T00:00:00,0.023056851,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0404669059465087,0.0196426464587986,0.0328091008138152,0.0228843115781894]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-04-03T00:00:00,0.02348551,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0432513831035009,0.0220749637966914,0.0335265550065936,0.0234533571472813]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-04-09T00:00:00,0.02381771,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0400774425280431,0.0192309172891016,0.0324307662775318,0.0231549211106561]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-04-15T00:00:00,0.022161543,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0475006989383119,0.0207730372557256,0.0350345301427316,0.0228821879735616]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-04-21T00:00:00,0.022667311,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0389134736263597,0.0202768271952128,0.0315626610894312,0.0225493440985697]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-04-27T00:00:00,0.022819178,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0384680347771891,0.018836490894898,0.0307100791119842,0.0227808256899554]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-05-03T00:00:00,0.022855988,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0380014352941586,0.0161138753572,0.0288522471472824,0.0225075261017837]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-05-09T00:00:00,0.021847412,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0395366620068128,0.0172147214573708,0.0319661733163347,0.0222239598792807]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-05-15T00:00:00,0.02196848,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0448538782620793,0.0198609491735737,0.0336519376752092,0.0211921619398592]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-05-21T00:00:00,0.019760594,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0389313980701564,0.0180343294883757,0.0309498858304936,0.0213480778311683]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-05-27T00:00:00,0.02231516,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0383795607523297,0.018706821403658,0.031597157913109,0.0208719110597713]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-06-02T00:00:00,0.020539979,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0414285754460685,0.0184799163057853,0.0323426035854226,0.0210067404392484]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-06-08T00:00:00,0.020165082,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0384237722998909,0.0203048600271681,0.0321503639151817,0.0199096603661749]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-06-14T00:00:00,0.01902392,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.040262431597647,0.0215228609547606,0.0317734743324879,0.0194028471592804]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-06-20T00:00:00,0.01901954,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0479954424931944,0.0187931681680327,0.0333745251315009,0.0184858392203344]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-06-26T00:00:00,0.017414059,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0483058802039773,0.0204503149098986,0.0333558052866236,0.0181022342879967]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-07-02T00:00:00,0.017873105,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0432912374502827,0.0193642196394661,0.0316344167609708,0.0190549264996875]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-07-08T00:00:00,0.021877616,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0456667389649531,0.0210571698391175,0.0321309033680936,0.0217788599436786]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-07-14T00:00:00,0.025585859,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0461636351540468,0.0197651447843403,0.0319942073383403,0.0230868798399837]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-07-20T00:00:00,0.021797164,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0460362563775988,0.0214931465541918,0.0336137828795369,0.0226142526924162]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-07-26T00:00:00,0.020459735,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0456982953285961,0.0215476543336346,0.0340694166875003,0.021587662184176]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-08-01T00:00:00,0.022506087,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0449055479355517,0.0186809948192775,0.0334185405250663,0.0206983875819842]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-08-07T00:00:00,0.019129341,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0418119093349903,0.0164854193863616,0.032745529146385,0.0192127920562165]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-08-13T00:00:00,0.016002948,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0402717034325459,0.0165386478477133,0.0296736797310312,0.0167675974996356]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
"41.48886657649801,13.75227256314178",IT,,Cassino,,Finished goods production: output inventory level,temporal variation of Sentinel-1 backscatter,,,E8,2020-08-19T00:00:00,0.015170504,"3-year statistics [max,min,2017-2019 7d mean,2020 7d mean] of the current date within the AOI",2017-2019,"[0.0428351211945938,0.0162255714050954,0.0313651738099488,0.0165101265676905]",,,,Radar backscatter (normalized),,,AA,IT15,monthly
