AOI,Country,Region,City,Site Name,Description,Method,EO Sensor,Input Data,Indicator code,Time,Measurement Value,Reference Description,Reference time,Reference value,Rule,Indicator Value,Sub-AOI,Y axis,Indicator Name,Color code,Data Provider,AOI_ID,Update Frequency
"52.35,4.9166669999999995",NL,,Amsterdam,,Air Quality,Spatial average of NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-05-14T00:00:00,98.1475,"Spatial statistics [median,std,max,min,percentage valid pixels,weight average] of the current date within the city area",2018-05-14T00:00:00,"[95.815735, 19.15995, 151.17224, 64.11222, 100.0, 16.89436]",,,"POLYGON((4.616667 52.050000000000004,5.216666999999999 52.050000000000004,5.216666999999999 52.65,4.616667 52.65,4.616667 52.050000000000004))",Tropospheric NO2 (μmol/m2),TROPOMI: Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,NL,Bi-weekly
"37.98333333,23.733333",GR,,Athens,,Air Quality,Spatial average of NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-05-14T00:00:00,38.839306,"Spatial statistics [median,std,max,min,percentage valid pixels,weight average] of the current date within the city area",2018-05-14T00:00:00,"[31.833296, 18.100588, 103.62804, 19.384598, 100.0, 10.988358]",,,"POLYGON((23.433332999999998 37.68333333,24.033333 37.68333333,24.033333 38.28333333,23.433332999999998 38.28333333,23.433332999999998 37.68333333))",Tropospheric NO2 (μmol/m2),TROPOMI: Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,GR,Bi-weekly
"52.51666667,13.4",DE,,Berlin,,Air Quality,Spatial average of NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-05-14T00:00:00,40.225876,"Spatial statistics [median,std,max,min,percentage valid pixels,weight average] of the current date within the city area",2018-05-14T00:00:00,"[39.351776, 8.782084, 66.03367, 22.3979, 100.0, 14.086631]",,,"POLYGON((13.1 52.21666667,13.700000000000001 52.21666667,13.700000000000001 52.81666667,13.1 52.81666667,13.1 52.21666667))",Tropospheric NO2 (μmol/m2),TROPOMI: Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,DE,Bi-weekly
"48.15,17.116667",SK,,Bratislava,,Air Quality,Spatial average of NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-05-14T00:00:00,38.631924,"Spatial statistics [median,std,max,min,percentage valid pixels,weight average] of the current date within the city area",2018-05-14T00:00:00,"[37.579403, 5.724669, 61.639107, 27.399668, 100.0, 16.129894]",,,"POLYGON((16.816667 47.85,17.416667 47.85,17.416667 48.449999999999996,16.816667 48.449999999999996,16.816667 47.85))",Tropospheric NO2 (μmol/m2),TROPOMI: Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,SK,Bi-weekly
"50.83333333,4.3333330000000005",BE,,Brussels,,Air Quality,Spatial average of NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-05-14T00:00:00,100.8862,"Spatial statistics [median,std,max,min,percentage valid pixels,weight average] of the current date within the city area",2018-05-14T00:00:00,"[99.165115, 12.4711, 139.61009, 75.451515, 100.0, 13.257829]",,,"POLYGON((4.033333000000001 50.533333330000005,4.633333 50.533333330000005,4.633333 51.13333333,4.033333000000001 51.13333333,4.033333000000001 50.533333330000005))",Tropospheric NO2 (μmol/m2),TROPOMI: Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,BE,Bi-weekly
"44.43333333,26.1",RO,,Bucharest,,Air Quality,Spatial average of NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-05-14T00:00:00,31.278103,"Spatial statistics [median,std,max,min,percentage valid pixels,weight average] of the current date within the city area",2018-05-14T00:00:00,"[28.45095, 8.727142, 58.746014, 18.466772, 100.0, 10.223399]",,,"POLYGON((25.8 44.133333330000006,26.400000000000002 44.133333330000006,26.400000000000002 44.73333333,25.8 44.73333333,25.8 44.133333330000006))",Tropospheric NO2 (μmol/m2),TROPOMI: Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,RO,Bi-weekly
"47.5,19.083333",HU,,Budapest,,Air Quality,Spatial average of NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-05-14T00:00:00,35.47979,"Spatial statistics [median,std,max,min,percentage valid pixels,weight average] of the current date within the city area",2018-05-14T00:00:00,"[33.703133, 6.6586714, 54.485767, 23.407698, 100.0, 15.268347]",,,"POLYGON((18.783333 47.2,19.383333 47.2,19.383333 47.8,18.783333 47.8,18.783333 47.2))",Tropospheric NO2 (μmol/m2),TROPOMI: Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,HU,Bi-weekly
"55.66666667,12.583333",DK,,Copenhagen,,Air Quality,Spatial average of NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-05-14T00:00:00,37.58888,"Spatial statistics [median,std,max,min,percentage valid pixels,weight average] of the current date within the city area",2018-05-14T00:00:00,"[35.778088, 6.778203, 54.527042, 26.657473, 100.0, 16.521393]",,,"POLYGON((12.283332999999999 55.36666667,12.883333 55.36666667,12.883333 55.966666669999995,12.283332999999999 55.966666669999995,12.283332999999999 55.36666667))",Tropospheric NO2 (μmol/m2),TROPOMI: Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,DK,Bi-weekly
"53.31666667,-6.233333",IE,,Dublin,,Air Quality,Spatial average of NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-05-14T00:00:00,30.80068,"Spatial statistics [median,std,max,min,percentage valid pixels,weight average] of the current date within the city area",2018-05-14T00:00:00,"[28.921919, 9.27465, 68.907906, 12.948432, 100.0, 7.42055]",,,"POLYGON((-6.533333 53.01666667,-5.933333 53.01666667,-5.933333 53.616666669999994,-6.533333 53.616666669999994,-6.533333 53.01666667))",Tropospheric NO2 (μmol/m2),TROPOMI: Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,IE,Bi-weekly
"60.16666667,24.933332999999998",FI,,Helsinki,,Air Quality,Spatial average of NO2 bi-weekly concentration value on the city area,TROPOMI,Sentinel-5p Level-3 NO2,N1,2018-05-14T00:00:00,44.944054,"Spatial statistics [median,std,max,min,percentage valid pixels,weight average] of the current date within the city area",2018-05-14T00:00:00,"[44.94636, 8.350119, 72.17119, 26.09075, 100.0, 18.303453]",,,"POLYGON((24.633332999999997 59.86666667,25.233333 59.86666667,25.233333 60.466666669999995,24.633332999999997 60.466666669999995,24.633332999999997 59.86666667))",Tropospheric NO2 (μmol/m2),TROPOMI: Spatial average over the city area of bi-weekly tropospheric nitrogen dioxide (NO2) concentrations,,EMSS,FI,Bi-weekly
